cloud.google.com/go/compute/metadata	v0.3.0
github.com/mailru/easyjson	v0.7.7
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.14
github.com/mikesmitty/edkey	v0.0.0-20170222072505-3356ea4e686a
github.com/mitchellh/go-homedir	v1.1.0
github.com/moby/spdystream	v0.5.0
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.3-0.20250322232337-35a7c28c31ee
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/mxk/go-flowrate	v0.0.0-20140419014527-cca7078d478f
github.com/nikogura/gomason	v0.0.0-20230124185400-8debbedb60bf
github.com/nikogura/jwt-ssh-agent-go	v0.0.1
github.com/nikogura/kubectl-ssh-oidc	v0.3.8
github.com/nikogura/ssh-client-go	v0.0.2
github.com/onsi/ginkgo/v2	v2.21.0
github.com/onsi/gomega	v1.35.1
github.com/pelletier/go-toml/v2	v2.2.2
github.com/peterbourgon/diskv	v2.0.1+incompatible
github.com/phayes/freeport	v0.0.0-20180830031419-95f893ade6f2
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.4.3
github.com/rogpeppe/go-internal	v1.13.1
github.com/russross/blackfriday/v2	v2.1.0
github.com/ryszard/goskiplist	v0.0.0-20150312221310-2dfbae5fcf46
github.com/shabbyrobe/gocovmerge	v0.0.0-20180507124511-f6ea450bfb63
github.com/sirupsen/logrus	v1.9.4
github.com/smartystreets/assertions	v0.0.0-20180927180507-b2de0cb4f26d
github.com/smartystreets/goconvey	v0.0.0-20181108003508-044398e4856c
github.com/spf13/afero	v1.2.1
github.com/spf13/cobra	v1.8.1
github.com/spf13/pflag	v1.0.6
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/twitchyliquid64/golang-asm	v0.15.1
github.com/ugorji/go/codec	v1.2.12
github.com/x448/float16	v0.8.4
github.com/yuin/goldmark	v1.4.13
go.uber.org/goleak	v1.3.0
go.yaml.in/yaml/v2	v2.4.2
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/arch	v0.8.0
golang.org/x/crypto	v0.42.0
golang.org/x/mod	v0.27.0
golang.org/x/net	v0.43.0
golang.org/x/oauth2	v0.27.0
golang.org/x/sync	v0.19.0
golang.org/x/sys	v0.40.0
golang.org/x/telemetry	v0.0.0-20250807160809-1a19826ec488
golang.org/x/term	v0.35.0
golang.org/x/text	v0.29.0
golang.org/x/time	v0.9.0
golang.org/x/tools	v0.36.0
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
google.golang.org/protobuf	v1.36.5
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/cheggaaa/pb.v1	v1.0.25
gopkg.in/evanphx/json-patch.v4	v4.12.0
gopkg.in/inf.v0	v0.9.1
gopkg.in/ini.v1	v1.67.0
gopkg.in/mgo.v2	v2.0.0-20180705113604-9856a29383ce
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
k8s.io/api	v0.34.1
k8s.io/apimachinery	v0.34.1
k8s.io/client-go	v0.34.1
k8s.io/klog/v2	v2.130.1
k8s.io/kube-openapi	v0.0.0-20250710124328-f3f2b991d03b
k8s.io/utils	v0.0.0-20250604170112-4c0f3b243397
nullprogram.com/x/optparse	v1.0.0
rsc.io/pdf	v0.1.1
sigs.k8s.io/json	v0.0.0-20241014173422-cfa47c3a1cc8
sigs.k8s.io/randfill	v1.0.0
sigs.k8s.io/structured-merge-diff/v6	v6.3.0
sigs.k8s.io/yaml	v1.6.0
