cloud.google.com/go/auth	v0.20.0
github.com/ldez/grignotin	v0.10.1
github.com/leodido/go-urn	v1.4.0
github.com/linode/linodego	v1.69.1
github.com/liquidweb/liquidweb-cli	v0.7.0
github.com/liquidweb/liquidweb-go	v1.6.4
github.com/magiconair/properties	v1.8.10
github.com/mattn/go-isatty	v0.0.22
github.com/mattn/go-zglob	v0.0.6
github.com/miekg/dns	v1.1.72
github.com/mimuret/golang-iij-dpf	v0.9.1
github.com/mitchellh/go-homedir	v1.1.0
github.com/mitchellh/mapstructure	v1.5.0
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.3-0.20250322232337-35a7c28c31ee
github.com/namedotcom/go/v4	v4.0.2
github.com/nrdcg/auroradns	v1.2.0
github.com/nrdcg/bunny-go	v0.1.0
github.com/nrdcg/desec	v0.11.1
github.com/nrdcg/freemyip	v0.3.0
github.com/nrdcg/goacmedns	v0.2.0
github.com/nrdcg/goinwx	v0.12.0
github.com/nrdcg/mailinabox	v0.3.0
github.com/nrdcg/namesilo	v0.5.0
github.com/nrdcg/nodion	v0.1.0
github.com/nrdcg/oci-go-sdk/common/v1065	v1065.120.0
github.com/nrdcg/oci-go-sdk/dns/v1065	v1065.120.0
github.com/nrdcg/porkbun	v0.4.0
github.com/nrdcg/vegadns	v0.3.0
github.com/nzdjb/go-metaname	v1.0.0
github.com/openshift/gssapi	v0.0.0-20161010215902-5fb4217df13b
github.com/ovh/go-ovh	v1.9.0
github.com/pelletier/go-toml/v2	v2.1.0
github.com/peterhellberg/link	v1.2.0
github.com/pkg/browser	v0.0.0-20240102092130-5ac0b6a4141c
github.com/pkg/errors	v0.9.1
github.com/pquerna/otp	v1.5.0
github.com/regfish/regfish-dnsapi-go	v0.1.1
github.com/sacloud/api-client-go	v0.3.5
github.com/sacloud/go-http	v0.1.9
github.com/sacloud/iaas-api-go	v1.29.2
github.com/sacloud/packages-go	v0.1.0
github.com/sacloud/saclient-go	v0.4.0
github.com/sagikazarmark/locafero	v0.4.0
github.com/sagikazarmark/slog-shim	v0.1.0
github.com/scaleway/scaleway-sdk-go	v1.0.0-beta.36
github.com/selectel/domains-go	v1.1.0
github.com/selectel/go-selvpcclient/v4	v4.2.0
github.com/shopspring/decimal	v1.4.0
github.com/sirupsen/logrus	v1.9.4
github.com/softlayer/softlayer-go	v1.2.1
github.com/softlayer/xmlrpc	v0.0.0-20200409220501-5f089df7cb7e
github.com/sony/gobreaker/v2	v2.4.0
github.com/sourcegraph/conc	v0.3.0
github.com/spf13/afero	v1.15.0
github.com/spf13/cast	v1.7.0
github.com/spf13/pflag	v1.0.10
github.com/spf13/viper	v1.18.2
github.com/stretchr/objx	v0.5.3
github.com/stretchr/testify	v1.11.1
github.com/subosito/gotenv	v1.6.0
github.com/tencentcloud/tencentcloud-sdk-go/tencentcloud/common	v1.3.133
github.com/tjfoc/gmsm	v1.4.1
github.com/transip/gotransip/v6	v6.27.2
github.com/ucloud/ucloud-sdk-go	v0.22.90
github.com/ultradns/ultradns-go-sdk	v1.8.2-20260507133303-3f324c7
github.com/urfave/cli/v3	v3.10.1
github.com/vinyldns/go-vinyldns	v0.9.18
github.com/volcengine/volc-sdk-golang	v1.0.251
github.com/vultr/govultr/v3	v3.31.2
github.com/yandex-cloud/go-genproto	v0.95.0
github.com/yandex-cloud/go-sdk/services/dns	v0.0.65
github.com/yandex-cloud/go-sdk/v2	v2.136.0
github.com/youmark/pkcs8	v0.0.0-20240726163527-a2c0da244d78
gitlab.com/greyxor/slogor	v1.6.10
go.mongodb.org/mongo-driver	v1.17.9
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.67.0
go.opentelemetry.io/otel	v1.43.0
go.opentelemetry.io/otel/metric	v1.43.0
go.opentelemetry.io/otel/trace	v1.43.0
go.uber.org/multierr	v1.11.0
go.uber.org/ratelimit	v0.3.1
go.uber.org/zap	v1.27.0
golang.org/x/crypto	v0.54.0
golang.org/x/exp	v0.0.0-20260410095643-746e56fc9e2f
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.57.0
golang.org/x/oauth2	v0.36.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.47.0
golang.org/x/text	v0.40.0
golang.org/x/time	v0.15.0
golang.org/x/tools	v0.47.0
google.golang.org/api	v0.288.0
google.golang.org/genproto/googleapis/api	v0.0.0-20260414002931-afd174a4e478
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260630182238-925bb5da69e7
google.golang.org/grpc	v1.82.0
google.golang.org/protobuf	v1.36.11
gopkg.in/ini.v1	v1.67.3
gopkg.in/ns1/ns1-go.v2	v2.18.0
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
software.sslmate.com/src/go-pkcs12	v0.7.3
