c2sp.org/CCTV/age	v0.0.0-20251208015420-e9274a7bdbfd
github.com/planetscale/vtprotobuf	v0.6.1-0.20240319094008-0393e58bdf10
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/prometheus/client_golang	v1.23.2
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.66.1
github.com/prometheus/procfs	v0.16.1
github.com/rivo/uniseg	v0.4.4
github.com/rogpeppe/go-internal	v1.14.1
github.com/root-gg/logger	v0.0.0-20150501173826-5d9a47a35312
github.com/root-gg/utils	v0.0.0-20201113182430-4cef83d8cdcf
github.com/rs/xid	v1.6.0
github.com/rs/zerolog	v1.15.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/satori/go.uuid	v1.2.0
github.com/segmentio/asm	v1.1.3
github.com/segmentio/encoding	v0.5.4
github.com/shopspring/decimal	v0.0.0-20200227202807-02e2044944cc
github.com/sirupsen/logrus	v1.6.0
github.com/spf13/afero	v1.10.0
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.9
github.com/spiffe/go-spiffe/v2	v2.6.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/tinylib/msgp	v1.6.1
github.com/xhit/go-str2duration	v1.2.0
github.com/xhit/go-str2duration/v2	v2.1.0
github.com/yosida95/uritemplate/v3	v3.0.2
github.com/yuin/goldmark	v1.4.13
github.com/zeebo/errs	v1.4.0
github.com/zenazn/goji	v0.9.0
go.opencensus.io	v0.24.0
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/detectors/gcp	v1.39.0
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc	v0.63.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.61.0
go.opentelemetry.io/otel	v1.43.0
go.opentelemetry.io/otel/exporters/stdout/stdoutmetric	v1.40.0
go.opentelemetry.io/otel/metric	v1.43.0
go.opentelemetry.io/otel/sdk	v1.43.0
go.opentelemetry.io/otel/sdk/metric	v1.43.0
go.opentelemetry.io/otel/trace	v1.43.0
go.opentelemetry.io/proto/otlp	v1.7.1
go.uber.org/atomic	v1.6.0
go.uber.org/goleak	v1.3.0
go.uber.org/multierr	v1.5.0
go.uber.org/tools	v0.0.0-20190618225709-2cfd321de3ee
go.uber.org/zap	v1.10.0
go.yaml.in/yaml/v2	v2.4.2
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.51.0
golang.org/x/exp	v0.0.0-20200224162631-6cc2880d07d6
golang.org/x/image	v0.0.0-20190802002840-cff245a6509b
golang.org/x/lint	v0.0.0-20200302205851-738671d3881b
golang.org/x/mobile	v0.0.0-20190719004257-d2bd2a29d028
golang.org/x/mod	v0.35.0
golang.org/x/net	v0.55.0
golang.org/x/oauth2	v0.36.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/term	v0.43.0
golang.org/x/text	v0.37.0
golang.org/x/time	v0.15.0
golang.org/x/tools	v0.44.0
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gonum.org/v1/gonum	v0.16.0
google.golang.org/api	v0.273.0
google.golang.org/appengine	v1.6.8
google.golang.org/genproto	v0.0.0-20260316180232-0b37fe3546d5
google.golang.org/genproto/googleapis/api	v0.0.0-20260316180232-0b37fe3546d5
google.golang.org/genproto/googleapis/bytestream	v0.0.0-20260319201613-d00831a3d3e7
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260319201613-d00831a3d3e7
google.golang.org/grpc	v1.79.3
google.golang.org/grpc/examples	v0.0.0-20250407062114-b368379ef8f6
google.golang.org/protobuf	v1.36.11
gopkg.in/alecthomas/kingpin.v2	v2.2.6
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/cheggaaa/pb.v1	v1.0.28
gopkg.in/errgo.v2	v2.1.0
gopkg.in/inconshreveable/log15.v2	v2.0.0-20180818164646-67afb5ed74ec
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
gorm.io/driver/mysql	v1.6.0
gorm.io/driver/postgres	v1.6.0
gorm.io/driver/sqlite	v1.6.0
gorm.io/gorm	v1.31.1
gorm.io/plugin/prometheus	v0.1.0
honnef.co/go/tools	v0.0.1-2020.1.4
rsc.io/binaryregexp	v0.2.0
rsc.io/quote/v3	v3.1.0
rsc.io/sampler	v1.3.0
