cloud.google.com/go/auth	v0.15.0
github.com/opentracing-contrib/go-stdlib	v1.1.0
github.com/opentracing/opentracing-go	v1.2.1-0.20220228012449-10b1cf09e00b
github.com/pierrec/lz4/v4	v4.1.22
github.com/pires/go-proxyproto	v0.7.0
github.com/pkg/browser	v0.0.0-20240102092130-5ac0b6a4141c
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/power-devops/perfstat	v0.0.0-20240221224432-82ca36839d55
github.com/prometheus/alertmanager	v0.28.1
github.com/prometheus/client_golang	v1.21.1
github.com/prometheus/client_model	v0.6.1
github.com/prometheus/common	v0.62.0
github.com/prometheus/exporter-toolkit	v0.13.2
github.com/prometheus/procfs	v0.15.1
github.com/prometheus/prometheus	v0.302.1
github.com/prometheus/sigv4	v0.1.2
github.com/redis/go-redis/v9	v9.7.3
github.com/sean-/seed	v0.0.0-20170313163322-e2103e2c3529
github.com/sercand/kuberesolver/v5	v5.1.1
github.com/shirou/gopsutil/v4	v4.25.2
github.com/shopspring/decimal	v1.4.0
github.com/sirupsen/logrus	v1.9.3
github.com/sony/gobreaker/v2	v2.1.0
github.com/spaolacci/murmur3	v1.1.0
github.com/spf13/cast	v1.7.1
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/tjhop/slog-gokit	v0.1.4
github.com/tklauser/go-sysconf	v0.3.13
github.com/tklauser/numcpus	v0.7.0
github.com/uber/jaeger-client-go	v2.30.0%2Bincompatible
github.com/uber/jaeger-lib	v2.4.1%2Bincompatible
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasthttp	v1.58.0
github.com/willf/bitset	v1.1.11
github.com/willf/bloom	v2.0.3%2Bincompatible
github.com/workiva/go-datastructures	v1.1.5
github.com/yusufpapurcu/wmi	v1.2.4
go.etcd.io/etcd/api/v3	v3.5.4
go.etcd.io/etcd/client/pkg/v3	v3.5.4
go.etcd.io/etcd/client/v3	v3.5.4
go.mongodb.org/mongo-driver	v1.17.2
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/collector/component	v0.118.0
go.opentelemetry.io/collector/config/configtelemetry	v0.118.0
go.opentelemetry.io/collector/consumer	v1.24.0
go.opentelemetry.io/collector/pdata	v1.28.1
go.opentelemetry.io/collector/pipeline	v0.118.0
go.opentelemetry.io/collector/processor	v0.118.0
go.opentelemetry.io/collector/semconv	v0.118.0
go.opentelemetry.io/contrib/instrumentation/net/http/httptrace/otelhttptrace	v0.59.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.59.0
go.opentelemetry.io/otel	v1.39.0
go.opentelemetry.io/otel/metric	v1.39.0
go.opentelemetry.io/otel/trace	v1.39.0
go.uber.org/atomic	v1.11.0
go.uber.org/goleak	v1.3.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.27.0
go4.org/netipx	v0.0.0-20230125063823-8449b0a6169f
golang.org/x/crypto	v0.49.0
golang.org/x/exp	v0.0.0-20250106191152-7588d65b2ba8
golang.org/x/mod	v0.33.0
golang.org/x/net	v0.52.0
golang.org/x/oauth2	v0.34.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.42.0
golang.org/x/text	v0.35.0
golang.org/x/time	v0.11.0
golang.org/x/tools	v0.42.0
google.golang.org/api	v0.228.0
google.golang.org/genproto/googleapis/api	v0.0.0-20251202230838-ff82c1b0f217
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260319201613-d00831a3d3e7
google.golang.org/grpc	v1.79.3
google.golang.org/protobuf	v1.36.11
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
k8s.io/apimachinery	v0.32.3
k8s.io/client-go	v0.32.1
k8s.io/klog/v2	v2.130.1
k8s.io/utils	v0.0.0-20241210054802-24370beab758
