go.keploy.io/server/v3
bitbucket.org/creachadair/shell v0.0.8
github.com/DataDog/go-libddwaf/v4 v4.5.0
github.com/DataDog/go-runtime-metrics-internal v0.0.4-0.20250721125240-fdf1ef85b633
github.com/DataDog/go-sqllexer v0.1.8
github.com/DataDog/go-tuf v1.1.1-0.5.2
github.com/DataDog/opentelemetry-mapping-go/pkg/otlp/attributes v0.29.1
github.com/DataDog/sketches-go v1.4.7
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp v1.30.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric v0.54.0
github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/resourcemapping v0.54.0
github.com/HdrHistogram/hdrhistogram-go v0.9.0
github.com/Joker/jade v1.1.3
github.com/MakeNowJust/heredoc v1.0.0
github.com/Masterminds/goutils v1.1.1
github.com/Masterminds/semver/v3 v3.4.0
github.com/Masterminds/sprig/v3 v3.3.0
github.com/Masterminds/squirrel v1.5.4
github.com/Masterminds/vcs v1.13.3
github.com/Microsoft/go-winio v0.6.2
github.com/NYTimes/gziphandler v1.1.1
github.com/STARRY-S/zip v0.2.1
github.com/Shopify/goreferrer v0.0.0-20220729165902-8cddb4f5de06
github.com/Shopify/toxiproxy/v2 v2.12.0
github.com/agnivade/levenshtein v1.1.1
github.com/ajg/form v1.5.1
github.com/alecthomas/assert/v2 v2.7.0
github.com/alecthomas/chroma/v2 v2.14.0
github.com/alecthomas/repr v0.4.0
github.com/andybalholm/brotli v1.2.0
github.com/aquarapid/vaultlib v0.5.1
github.com/arbovm/levenshtein v0.0.0-20160628152529-48b4e1c0c4d0
github.com/armon/go-metrics v0.4.1
github.com/asaskevich/govalidator v0.0.0-20230301143203-a9d515a09cc2
github.com/aws/aws-sdk-go v1.46.4
github.com/aws/aws-sdk-go-v2 v1.39.2
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream v1.7.1
github.com/aws/aws-sdk-go-v2/config v1.31.12
github.com/aws/aws-sdk-go-v2/credentials v1.18.16
github.com/aws/aws-sdk-go-v2/feature/ec2/imds v1.18.9
github.com/aws/aws-sdk-go-v2/feature/s3/manager v1.19.10
github.com/aws/aws-sdk-go-v2/internal/configsources v1.4.9
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2 v2.7.9
github.com/aws/aws-sdk-go-v2/internal/ini v1.8.3
github.com/aws/aws-sdk-go-v2/internal/v4a v1.4.9
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding v1.13.1
github.com/aws/aws-sdk-go-v2/service/internal/checksum v1.8.9
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url v1.13.9
github.com/aws/aws-sdk-go-v2/service/internal/s3shared v1.19.9
github.com/aws/aws-sdk-go-v2/service/s3 v1.88.3
github.com/aws/aws-sdk-go-v2/service/sso v1.29.6
github.com/aws/aws-sdk-go-v2/service/ssooidc v1.35.1
github.com/aws/aws-sdk-go-v2/service/sts v1.38.6
github.com/aws/smithy-go v1.23.0
github.com/aymanbagabas/go-osc52/v2 v2.0.1
github.com/aymanbagabas/go-udiff v0.4.0
github.com/aymerick/douceur v0.2.0
github.com/beorn7/perks v1.0.1
github.com/bgentry/speakeasy v0.1.0
github.com/bitfield/gotestdox v0.2.2
github.com/bits-and-blooms/bitset v1.24.4
github.com/blang/semver/v4 v4.0.0
github.com/bndr/gotabulate v1.1.2
github.com/bodgit/plumbing v1.3.0
github.com/bodgit/sevenzip v1.6.0
github.com/bodgit/windows v1.0.1
github.com/bshuster-repo/logrus-logstash-hook v1.0.0
github.com/bufbuild/protocompile v0.14.1
github.com/buger/jsonparser v1.1.1
github.com/cenkalti/backoff/v4 v4.3.0
github.com/census-instrumentation/opencensus-proto v0.4.1
github.com/cespare/xxhash/v2 v2.3.0
github.com/chai2010/gettext-go v1.0.2
github.com/charmbracelet/colorprofile v0.4.2
github.com/charmbracelet/lipgloss v0.12.1
github.com/charmbracelet/ultraviolet v0.0.0-20251205161215-1948445e3318
github.com/charmbracelet/x/ansi v0.11.6
github.com/charmbracelet/x/exp/golden v0.0.0-20250806222409-83e3a29d542f
github.com/charmbracelet/x/exp/slice v0.0.0-20250327172914-2fdc97757edf
github.com/charmbracelet/x/term v0.2.2
github.com/charmbracelet/x/termios v0.1.1
github.com/charmbracelet/x/windows v0.2.2
github.com/chzyer/logex v1.1.10
github.com/chzyer/readline v0.0.0-20180603132655-2972be24d48e
github.com/chzyer/test v0.0.0-20180213035817-a1ea475d72b1
github.com/cihub/seelog v0.0.0-20170130134532-f561c5e57575
github.com/cilium/ebpf v0.21.0
github.com/client9/misspell v0.3.4
github.com/clipperhouse/displaywidth v0.11.0
github.com/clipperhouse/stringish v0.1.1
github.com/clipperhouse/uax29/v2 v2.7.0
github.com/cloudflare/backoff v0.0.0-20161212185259-647f3cdfc87a
github.com/cloudflare/cfssl v1.6.4
github.com/cloudflare/redoctober v0.0.0-20211013234631-6a74ccc611f6
github.com/cncf/xds/go v0.0.0-20250501225837-2ac532fd4443
github.com/codegangsta/inject v0.0.0-20150114235600-33e0aa1cb7c0
github.com/containerd/cgroups v1.1.0
github.com/containerd/cgroups/v3 v3.0.5
github.com/containerd/containerd v1.7.27
github.com/containerd/errdefs v0.3.0
github.com/containerd/errdefs/pkg v0.3.0
github.com/containerd/log v0.1.0
github.com/containerd/platforms v0.2.1
github.com/containerd/stargz-snapshotter/estargz v0.18.0
github.com/containerd/typeurl/v2 v2.2.0
github.com/coreos/go-semver v0.3.1
github.com/coreos/go-systemd/v22 v22.6.0
github.com/corpix/uarand v0.1.1
github.com/cpuguy83/go-md2man/v2 v2.0.7
github.com/creack/pty v1.1.24
github.com/cyphar/filepath-securejoin v0.4.1
github.com/dave/jennifer v1.7.1
github.com/davecgh/go-spew v1.1.2-0.20180830191138-d8f796af33cc
github.com/denisbrodbeck/machineid v1.0.1
github.com/dgryski/go-rendezvous v0.0.0-20200823014737-9f7001d12a5f
github.com/dgryski/trifles v0.0.0-20200323201526-dd97f9abfb48
github.com/distribution/distribution/v3 v3.0.0
github.com/distribution/reference v0.6.0
github.com/dlclark/regexp2 v1.11.0
github.com/dnephin/pflag v1.0.7
github.com/docker/cli v29.2.0+incompatible
github.com/docker/distribution v2.8.3+incompatible
github.com/docker/docker v28.5.2+incompatible
github.com/docker/docker-credential-helpers v0.9.3
github.com/docker/go-connections v0.4.0
github.com/docker/go-events v0.0.0-20190806004212-e31b211e4f1c
github.com/docker/go-metrics v0.0.1
github.com/docker/go-units v0.5.0
github.com/dsnet/compress v0.0.2-0.20230904184137-39efe44ab707
github.com/dsnet/golib v0.0.0-20171103203638-1ea166775780
github.com/dustin/go-humanize v1.0.1
github.com/eapache/queue/v2 v2.0.0-20230407133247-75960ed334e4
github.com/ebitengine/purego v0.9.0
github.com/eknkc/amber v0.0.0-20171010120322-cdade1c07385
github.com/emicklei/go-restful/v3 v3.11.0
github.com/emirpasic/gods v1.18.1
github.com/envoyproxy/go-control-plane v0.13.4
github.com/envoyproxy/go-control-plane/envoy v1.35.0
github.com/envoyproxy/go-control-plane/ratelimit v0.1.0
github.com/envoyproxy/protoc-gen-validate v1.2.1
github.com/evanphx/json-patch v5.9.11+incompatible
github.com/exponent-io/jsonpath v0.0.0-20210407135951-1de76d718b3f
github.com/fatih/color v1.18.0
github.com/fatih/semgroup v1.2.0
github.com/fatih/structs v1.1.0
github.com/felixge/httpsnoop v1.0.4
github.com/flosch/pongo2/v4 v4.0.2
github.com/foxcpp/go-mockdns v1.1.0
github.com/frankban/quicktest v1.14.6
github.com/fsnotify/fsnotify v1.9.0
github.com/fullstorydev/grpcurl v1.9.1
github.com/fxamacker/cbor/v2 v2.7.0
github.com/gammazero/deque v1.1.0
github.com/getkin/kin-openapi v0.126.0
github.com/getsentry/sentry-go v0.28.1
github.com/gin-contrib/sse v0.1.0
github.com/gin-gonic/gin v1.8.1
github.com/gitleaks/go-gitdiff v0.9.1
github.com/go-chi/chi/v5 v5.2.3
github.com/go-chi/render v1.0.3
github.com/go-errors/errors v1.4.2
github.com/go-gl/glfw v0.0.0-20190409004039-e6da0acd62b1
github.com/go-gl/glfw/v3.3/glfw v0.0.0-20191125211704-12ad95a8df72
github.com/go-gorp/gorp/v3 v3.1.0
github.com/go-jose/go-jose/v4 v4.1.2
github.com/go-logr/logr v1.4.3
github.com/go-logr/stdr v1.2.2
github.com/go-martini/martini v0.0.0-20170121215854-22fa46961aab
github.com/go-ole/go-ole v1.3.0
github.com/go-openapi/jsonpointer v0.21.0
github.com/go-openapi/jsonreference v0.20.2
github.com/go-openapi/swag v0.23.0
github.com/go-playground/locales v0.14.0
github.com/go-playground/universal-translator v0.18.0
github.com/go-playground/validator/v10 v10.11.1
github.com/go-quicktest/qt v1.101.1-0.20240301121107-c6c8733fa1e6
github.com/go-sql-driver/mysql v1.8.1
github.com/go-task/slim-sprig/v3 v3.0.0
github.com/go-test/deep v1.0.8
github.com/go-viper/mapstructure/v2 v2.4.0
github.com/gobwas/glob v0.2.3
github.com/goccy/go-json v0.9.11
github.com/godbus/dbus/v5 v5.1.0
github.com/gofiber/fiber/v2 v2.52.2
github.com/gofrs/flock v0.12.1
github.com/gogo/protobuf v1.3.2
github.com/golang-jwt/jwt/v4 v4.5.0
github.com/golang/glog v1.2.5
github.com/golang/groupcache v0.0.0-20210331224755-41bb18bfe9da
github.com/golang/mock v1.6.0
github.com/golang/protobuf v1.5.4
github.com/golang/snappy v1.0.0
github.com/google/btree v1.1.3
github.com/google/certificate-transparency-go v1.2.1
github.com/google/gnostic-models v0.7.0
github.com/google/go-cmdtest v0.4.0
github.com/google/go-cmp v0.7.0
github.com/google/go-containerregistry v0.20.6
github.com/google/go-querystring v1.1.0
github.com/google/martian v2.1.0+incompatible
github.com/google/pprof v0.0.0-20250820193118-f64d9cf942d6
github.com/google/renameio v0.1.0
github.com/google/s2a-go v0.1.9
github.com/google/safehtml v0.1.0
github.com/google/shlex v0.0.0-20191202100458-e7afc7fbc510
github.com/google/trillian v1.6.0
github.com/google/uuid v1.6.0
github.com/googleapis/enterprise-certificate-proxy v0.3.6
github.com/googleapis/gax-go/v2 v2.15.0
github.com/gopacket/gopacket v1.4.0
github.com/gorilla/css v1.0.1
github.com/gorilla/handlers v1.5.2
github.com/gorilla/mux v1.8.1
github.com/gorilla/websocket v1.5.4-0.20250319132907-e064f32e3674
github.com/gosuri/uitable v0.0.4
github.com/gregjones/httpcache v0.0.0-20190611155906-901d90724c79
github.com/grpc-ecosystem/go-grpc-middleware v1.4.0
github.com/grpc-ecosystem/go-grpc-prometheus v1.2.0
github.com/grpc-ecosystem/grpc-gateway v1.16.0
github.com/grpc-ecosystem/grpc-gateway/v2 v2.24.0
github.com/h2non/filetype v1.1.3
github.com/hashicorp/consul/api v1.32.4
github.com/hashicorp/errwrap v1.1.0
github.com/hashicorp/go-cleanhttp v0.5.2
github.com/hashicorp/go-hclog v1.6.3
github.com/hashicorp/go-immutable-radix v1.3.1
github.com/hashicorp/go-metrics v0.5.4
github.com/hashicorp/go-multierror v1.1.1
github.com/hashicorp/go-rootcerts v1.0.2
github.com/hashicorp/go-version v1.7.0
github.com/hashicorp/golang-lru v1.0.2
github.com/hashicorp/golang-lru/arc/v2 v2.0.5
github.com/hashicorp/golang-lru/v2 v2.0.7
github.com/hashicorp/hcl v1.0.0
github.com/hashicorp/serf v0.10.2
github.com/hexops/gotextdiff v1.0.3
github.com/huandu/xstrings v1.5.0
github.com/ianlancetaylor/demangle v0.0.0-20181102032728-5e5cf60278f6
github.com/icrowley/fake v0.0.0-20180203215853-4178557ae428
github.com/imkira/go-interpol v1.1.0
github.com/inconshreveable/mousetrap v1.1.0
github.com/invopop/yaml v0.3.1
github.com/iris-contrib/httpexpect/v2 v2.12.1
github.com/iris-contrib/schema v0.0.6
github.com/jackc/pgpassfile v1.0.0
github.com/jackc/pgservicefile v0.0.0-20240606120523-5a60cdf6a761
github.com/jackc/pgx/v5 v5.9.2
github.com/jackc/puddle/v2 v2.2.2
github.com/jhump/protoreflect v1.16.0
github.com/jmespath/go-jmespath v0.4.0
github.com/jmhodges/clock v1.2.0
github.com/jmoiron/sqlx v1.4.0
github.com/jonboulle/clockwork v0.4.0
github.com/josharian/intern v1.0.0
github.com/josharian/native v1.1.0
github.com/jsimonetti/rtnetlink/v2 v2.0.1
github.com/json-iterator/go v1.1.12
github.com/jstemmer/go-junit-report v0.9.1
github.com/k0kubun/pp/v3 v3.2.0
github.com/kataras/blocks v0.0.7
github.com/kataras/golog v0.1.8
github.com/kataras/iris/v12 v12.2.0
github.com/kataras/pio v0.0.11
github.com/kataras/sitemap v0.0.6
github.com/kataras/tunnel v0.0.4
github.com/keploy/jsonDiff v1.0.8
github.com/kisielk/gotool v1.0.0
github.com/kisielk/sqlstruct v0.0.0-20201105191214-5f3e10d3ab46
github.com/klauspost/compress v1.18.0
github.com/klauspost/cpuid v1.2.0
github.com/klauspost/pgzip v1.2.6
github.com/konsorten/go-windows-terminal-sequences v1.0.1
github.com/kr/pretty v0.3.1
github.com/kr/pty v1.1.1
github.com/kr/text v0.2.0
github.com/krishicks/yaml-patch v0.0.10
github.com/kylelemons/go-gypsy v1.0.0
github.com/kylelemons/godebug v1.1.0
github.com/labstack/echo/v4 v4.10.0
github.com/labstack/gommon v0.4.0
github.com/lann/builder v0.0.0-20180802200727-47ae307949d0
github.com/lann/ps v0.0.0-20150810152359-62de8c46ede0
github.com/leodido/go-urn v1.2.1
github.com/letsencrypt/pkcs11key/v4 v4.0.0
github.com/lib/pq v1.10.9
github.com/liggitt/tabwriter v0.0.0-20181228230101-89fcab3d43de
github.com/lucasb-eyer/go-colorful v1.3.0
github.com/lucasjones/reggen v0.0.0-20200904144131-37ba4fa293bb
github.com/lufia/plan9stats v0.0.0-20250827001030-24949be3fa54
github.com/magiconair/properties v1.8.9
github.com/mailgun/raymond/v2 v2.0.48
github.com/mailru/easyjson v0.7.7
github.com/mattn/go-colorable v0.1.14
github.com/mattn/go-ieproxy v0.0.12
github.com/mattn/go-isatty v0.0.20
github.com/mattn/go-runewidth v0.0.19
github.com/mattn/go-shellwords v1.0.12
github.com/mattn/go-sqlite3 v1.14.22
github.com/matttproud/golang_protobuf_extensions v1.0.2
github.com/mdlayher/netlink v1.7.2
github.com/mdlayher/socket v0.5.1
github.com/mholt/archives v0.1.2
github.com/microcosm-cc/bluemonday v1.0.27
github.com/miekg/dns v1.1.57
github.com/miekg/pkcs11 v1.1.1
github.com/minio/minio-go v0.0.0-20190131015406-c8a261de75c1
github.com/minio/minlz v1.0.0
github.com/mitchellh/copystructure v1.2.0
github.com/mitchellh/go-homedir v1.1.0
github.com/mitchellh/go-wordwrap v1.0.1
github.com/mitchellh/mapstructure v1.5.0
github.com/mitchellh/reflectwalk v1.0.2
github.com/moby/docker-image-spec v1.3.1
github.com/moby/moby v26.0.2+incompatible
github.com/moby/spdystream v0.5.0
github.com/moby/sys/atomicwriter v0.1.0
github.com/moby/sys/sequential v0.6.0
github.com/moby/term v0.5.2
github.com/modern-go/concurrent v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2 v1.0.3-0.20250322232337-35a7c28c31ee
github.com/mohae/deepcopy v0.0.0-20170929034955-c48cc78d4826
github.com/monochromegane/go-gitignore v0.0.0-20200626010858-205db1a8cc00
github.com/morikuni/aec v1.0.0
github.com/mreiferson/go-httpclient v0.0.0-20160630210159-31f0106b4474
github.com/muesli/cancelreader v0.2.2
github.com/muesli/reflow v0.2.1-0.20210115123740-9e1d0d53df68
github.com/muesli/termenv v0.15.3-0.20240618155329-98d742f6907a
github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
github.com/mxk/go-flowrate v0.0.0-20140419014527-cca7078d478f
github.com/ncruces/go-strftime v0.1.9
github.com/nsf/jsondiff v0.0.0-20210926074059-1e845ec5d249
github.com/nwaples/rardecode/v2 v2.1.0
github.com/nxadm/tail v1.4.11
github.com/olekukonko/cat v0.0.0-20250911104152-50322a0618f6
github.com/olekukonko/errors v1.1.0
github.com/olekukonko/ll v0.1.1
github.com/olekukonko/tablewriter v1.1.0
github.com/olekukonko/ts v0.0.0-20171002115256-78ecb04241c0
github.com/onsi/ginkgo v1.16.5
github.com/onsi/ginkgo/v2 v2.19.0
github.com/onsi/gomega v1.36.2
github.com/op/go-logging v0.0.0-20160315200505-970db520ece7
github.com/opencontainers/go-digest v1.0.0
github.com/opencontainers/image-spec v1.1.1
github.com/opencontainers/runtime-spec v1.2.1
github.com/opentracing-contrib/go-grpc v0.1.2
github.com/opentracing/opentracing-go v1.2.0
github.com/outcaste-io/ristretto v0.2.3
github.com/patrickmn/go-cache v2.1.0+incompatible
github.com/pavlo-v-chernykh/keystore-go/v4 v4.5.0
github.com/pelletier/go-toml/v2 v2.2.4
github.com/perimeterx/marshmallow v1.1.5
github.com/peterbourgon/diskv v2.0.1+incompatible
github.com/phayes/freeport v0.0.0-20220201140144-74d24b5ae9f5
github.com/philhofer/fwd v1.2.0
github.com/pierrec/lz4 v2.6.1+incompatible
github.com/pierrec/lz4/v4 v4.1.21
github.com/pingcap/errors v0.11.4
github.com/pires/go-proxyproto v0.8.1
github.com/pkg/errors v0.9.1
github.com/planetscale/pargzip v0.0.0-20201116224723-90c7fc03ea8a
github.com/planetscale/vtprotobuf v0.6.1-0.20250313105119-ba97887b0a25
github.com/pmezard/go-difflib v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/power-devops/perfstat v0.0.0-20240221224432-82ca36839d55
github.com/prometheus/client_golang v1.23.2
github.com/prometheus/client_model v0.6.2
github.com/prometheus/common v0.66.1
github.com/prometheus/procfs v0.17.0
github.com/prometheus/prometheus v0.47.2
github.com/protocolbuffers/protoscope v0.0.0-20221109213918-8e7a6aafa2c9
github.com/puzpuzpuz/xsync/v3 v3.5.1
github.com/redis/go-redis/extra/rediscmd/v9 v9.0.5
github.com/redis/go-redis/extra/redisotel/v9 v9.0.5
github.com/redis/go-redis/v9 v9.7.3
github.com/remyoudompheng/bigfft v0.0.0-20230129092748-24d4a6f8daec
github.com/rivo/uniseg v0.4.7
github.com/rogpeppe/go-internal v1.14.1
github.com/rs/cors v1.11.0
github.com/rs/xid v1.5.0
github.com/rs/zerolog v1.33.0
github.com/rubenv/sql-migrate v1.8.0
github.com/russross/blackfriday v1.6.0
github.com/russross/blackfriday/v2 v2.1.0
github.com/rwcarlsen/goexif v0.0.0-20190401172101-9e8deecbddbd
github.com/sagikazarmark/locafero v0.12.0
github.com/sagikazarmark/slog-shim v0.1.0
github.com/sanity-io/litter v1.5.5
github.com/santhosh-tekuri/jsonschema/v5 v5.3.1
github.com/schollz/closestmatch v2.1.0+incompatible
github.com/secure-systems-lab/go-securesystemslib v0.9.1
github.com/sergi/go-diff v1.3.1
github.com/shirou/gopsutil/v4 v4.25.8
github.com/shopspring/decimal v1.4.0
github.com/sirupsen/logrus v1.9.3
github.com/sjmudd/stopwatch v0.1.1
github.com/soheilhy/cmux v0.1.5
github.com/sorairolake/lzip-go v0.3.5
github.com/sourcegraph/conc v0.3.1-0.20240121214520-5f936abd7ae8
github.com/spf13/afero v1.15.0
github.com/spf13/cast v1.10.0
github.com/spf13/cobra v1.10.1
github.com/spf13/jwalterweatherman v1.1.0
github.com/spf13/pflag v1.0.10
github.com/spf13/viper v1.21.0
github.com/spiffe/go-spiffe/v2 v2.6.0
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
github.com/subosito/gotenv v1.6.0
github.com/tchap/go-patricia v2.3.0+incompatible
github.com/tdewolff/minify/v2 v2.12.4
github.com/tdewolff/parse/v2 v2.6.4
github.com/tetratelabs/wazero v1.9.0
github.com/therootcompany/xz v1.0.1
github.com/tidwall/gjson v1.18.0
github.com/tidwall/match v1.2.0
github.com/tidwall/pretty v1.2.1
github.com/tidwall/sjson v1.2.5
github.com/tinylib/msgp v1.4.0
github.com/tklauser/go-sysconf v0.3.15
github.com/tklauser/numcpus v0.10.0
github.com/tmc/grpc-websocket-proxy v0.0.0-20220101234140-673ab2c3ae75
github.com/tomasen/realip v0.0.0-20180522021738-f0c99a92ddce
github.com/transparency-dev/merkle v0.0.2
github.com/uber/jaeger-client-go v2.30.0+incompatible
github.com/uber/jaeger-lib v2.4.1+incompatible
github.com/ugorji/go/codec v1.2.7
github.com/ulikunitz/xz v0.5.12
github.com/urfave/cli v1.22.14
github.com/urfave/negroni v1.0.0
github.com/valyala/bytebufferpool v1.0.0
github.com/valyala/fasthttp v1.52.0
github.com/valyala/fasttemplate v1.2.2
github.com/valyala/tcplisten v1.0.0
github.com/vbatts/tar-split v0.12.2
github.com/vishvananda/netlink v1.1.0
github.com/vishvananda/netns v0.0.0-20211101163701-50045581ed74
github.com/vmihailenco/msgpack/v5 v5.3.5
github.com/vmihailenco/tagparser/v2 v2.0.0
github.com/wI2L/jsondiff v0.5.0
github.com/wasilibs/go-re2 v1.9.0
github.com/wasilibs/wazero-helpers v0.0.0-20240620070341-3dff1577cd52
github.com/weppos/publicsuffix-go v0.15.1-0.20210511084619-b1f36a2d6c0b
github.com/x448/float16 v0.8.4
github.com/xdg-go/pbkdf2 v1.0.0
github.com/xdg-go/scram v1.1.2
github.com/xdg-go/stringprep v1.0.4
github.com/xeipuuv/gojsonpointer v0.0.0-20190905194746-02993c407bfb
github.com/xeipuuv/gojsonreference v0.0.0-20180127040603-bd5ef7bd5415
github.com/xeipuuv/gojsonschema v1.2.0
github.com/xiang90/probing v0.0.0-20221125231312-a49e3df8f510
github.com/xlab/treeprint v1.2.0
github.com/xo/terminfo v0.0.0-20220910002029-abceb7e1c41e
github.com/xyproto/randomstring v1.0.5
github.com/yalp/jsonpath v0.0.0-20180802001716-5cc68e5049a0
github.com/yosssi/ace v0.0.5
github.com/youmark/pkcs8 v0.0.0-20240726163527-a2c0da244d78
github.com/yudai/gojsondiff v1.0.0
github.com/yudai/golcs v0.0.0-20170316035057-ecda9a501e82
github.com/yuin/goldmark v1.7.8
github.com/yuin/goldmark-emoji v1.0.5
github.com/yusufpapurcu/wmi v1.2.4
github.com/z-division/go-zookeeper v1.0.0
github.com/zeebo/errs v1.4.0
github.com/ziutek/mymysql v1.5.4
github.com/zmap/rc2 v0.0.0-20131011165748-24b9757f5521
github.com/zmap/zcertificate v0.0.0-20180516150559-0e3d58b1bac4
github.com/zmap/zcrypto v0.0.0-20210511125630-18f1e0152cfc
github.com/zmap/zlint/v3 v3.1.0
github.com/zricethezav/gitleaks/v8 v8.28.0
go.etcd.io/bbolt v1.3.9
go.etcd.io/etcd/api/v3 v3.5.25
go.etcd.io/etcd/client/pkg/v3 v3.5.25
go.etcd.io/etcd/client/v2 v2.305.13
go.etcd.io/etcd/client/v3 v3.5.25
go.etcd.io/etcd/etcdctl/v3 v3.5.13
go.etcd.io/etcd/etcdutl/v3 v3.5.13
go.etcd.io/etcd/pkg/v3 v3.5.13
go.etcd.io/etcd/raft/v3 v3.5.13
go.etcd.io/etcd/server/v3 v3.5.13
go.etcd.io/etcd/tests/v3 v3.5.13
go.etcd.io/etcd/v3 v3.5.13
go.mongodb.org/mongo-driver/v2 v2.4.1
go.opencensus.io v0.24.0
go.opentelemetry.io/auto/sdk v1.2.1
go.opentelemetry.io/collector/component v1.42.0
go.opentelemetry.io/collector/featuregate v1.42.0
go.opentelemetry.io/collector/internal/telemetry v0.136.0
go.opentelemetry.io/collector/pdata v1.42.0
go.opentelemetry.io/contrib/bridges/otelzap v0.13.0
go.opentelemetry.io/contrib/bridges/prometheus v0.57.0
go.opentelemetry.io/contrib/detectors/gcp v1.38.0
go.opentelemetry.io/contrib/exporters/autoexport v0.57.0
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc v0.63.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.63.0
go.opentelemetry.io/otel v1.38.0
go.opentelemetry.io/otel/exporters/otlp/otlplog/otlploggrpc v0.8.0
go.opentelemetry.io/otel/exporters/otlp/otlplog/otlploghttp v0.8.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc v1.32.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetrichttp v1.32.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace v1.33.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc v1.33.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp v1.32.0
go.opentelemetry.io/otel/exporters/prometheus v0.54.0
go.opentelemetry.io/otel/exporters/stdout/stdoutlog v0.8.0
go.opentelemetry.io/otel/exporters/stdout/stdoutmetric v1.32.0
go.opentelemetry.io/otel/exporters/stdout/stdouttrace v1.32.0
go.opentelemetry.io/otel/log v0.14.0
go.opentelemetry.io/otel/metric v1.38.0
go.opentelemetry.io/otel/sdk v1.38.0
go.opentelemetry.io/otel/sdk/log v0.8.0
go.opentelemetry.io/otel/sdk/metric v1.38.0
go.opentelemetry.io/otel/trace v1.38.0
go.opentelemetry.io/proto/otlp v1.4.0
go.uber.org/atomic v1.11.0
go.uber.org/goleak v1.3.0
go.uber.org/mock v0.5.0
go.uber.org/multierr v1.11.0
go.uber.org/zap v1.27.0
go.yaml.in/yaml/v2 v2.4.3
go.yaml.in/yaml/v3 v3.0.4
go4.org v0.0.0-20230225012048-214862532bf5
golang.org/x/crypto v0.48.0
golang.org/x/exp v0.0.0-20250911091902-df9299821621
