c2sp.org/CCTV/age	v0.0.0-20251208015420-e9274a7bdbfd
github.com/cenkalti/backoff/v3	v3.2.2
github.com/cenkalti/backoff/v4	v4.3.0
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.1.2
github.com/cespare/xxhash/v2	v2.3.0
github.com/chai2010/gettext-go	v1.0.2
github.com/clbanning/mxj/v2	v2.3.3-0.20201214204241-e937bdee5a3e
github.com/clbanning/mxj/v2	v2.7.0
github.com/cloudflare/circl	v1.1.0
github.com/cloudflare/circl	v1.6.4
github.com/cncf/xds/go	v0.0.0-20260202195803-dba9d589def2
github.com/cockroachdb/apd/v3	v3.2.3
github.com/containerd/containerd	v1.6.18
github.com/containerd/continuity	v0.5.0
github.com/containerd/errdefs	v1.0.0
github.com/containerd/errdefs/pkg	v0.3.0
github.com/containerd/log	v0.1.0
github.com/containerd/platforms	v1.0.0-rc.4
github.com/containerd/typeurl	v1.0.2
github.com/containerd/typeurl/v2	v2.3.0
github.com/coreos/go-systemd/v22	v22.7.0
github.com/cpuguy83/dockercfg	v0.3.2
github.com/cpuguy83/go-md2man/v2	v2.0.2
github.com/cpuguy83/go-md2man/v2	v2.0.7
github.com/creack/pty	v1.1.24
github.com/crewjam/saml	v0.5.0
github.com/cyphar/filepath-securejoin	v0.2.3
github.com/cyphar/filepath-securejoin	v0.7.0
github.com/danwakefield/fnmatch	v0.0.0-20160403171240-cbb64ac3d964
github.com/davecgh/go-spew	v1.1.1
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/davidmz/go-pageant	v1.0.2
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/dimchansky/utfbom	v1.1.1
github.com/distribution/distribution/v3	v3.1.1
github.com/distribution/reference	v0.6.0
github.com/dlclark/regexp2	v1.11.0
github.com/dlclark/regexp2	v1.4.0
github.com/docker/cli	v20.10.21%2Bincompatible
github.com/docker/cli	v29.6.1%2Bincompatible
github.com/docker/distribution	v2.8.1%2Bincompatible
github.com/docker/docker	v20.10.21%2Bincompatible
github.com/docker/docker-credential-helpers	v0.7.0
github.com/docker/docker-credential-helpers	v0.9.8
github.com/docker/go-connections	v0.4.0
github.com/docker/go-connections	v0.7.0
github.com/docker/go-events	v0.0.0-20250808211157-605354379745
github.com/docker/go-metrics	v0.0.1
github.com/docker/go-units	v0.5.0
github.com/drone/go-scm	v1.29.1
github.com/drone/go-scm	v1.42.10
github.com/dylibso/observe-sdk/go	v0.0.0-20240819160327-2d926c5d788a
github.com/ebitengine/purego	v0.10.0
github.com/elazarl/goproxy	v1.7.2
github.com/emicklei/go-restful/v3	v3.13.0
github.com/emicklei/go-restful/v3	v3.9.0
github.com/emicklei/proto	v1.14.3
github.com/emirpasic/gods	v1.18.1
github.com/envoyproxy/go-control-plane	v0.14.0
github.com/envoyproxy/go-control-plane/envoy	v1.37.0
github.com/envoyproxy/go-control-plane/ratelimit	v0.1.0
github.com/envoyproxy/protoc-gen-validate	v1.3.3
github.com/evanphx/json-patch	v5.6.0%2Bincompatible
github.com/evanphx/json-patch	v5.9.11%2Bincompatible
github.com/exponent-io/jsonpath	v0.0.0-20151013193312-d6023ce2651d
github.com/exponent-io/jsonpath	v0.0.0-20210407135951-1de76d718b3f
github.com/extism/go-sdk	v1.7.1
github.com/fatih/color	v1.15.0
github.com/fatih/color	v1.19.0
github.com/felixge/httpsnoop	v1.1.0
github.com/fluxcd/helm-controller/api	v1.6.2
github.com/fluxcd/pkg/apis/acl	v0.10.0
github.com/fluxcd/pkg/apis/kustomize	v1.19.1
github.com/fluxcd/pkg/apis/meta	v1.30.1
github.com/fluxcd/source-controller/api	v1.9.3
github.com/foxcpp/go-mockdns	v1.2.0
github.com/frankban/quicktest	v1.14.6
github.com/fxamacker/cbor/v2	v2.9.2
github.com/getsops/gopgagent	v0.0.0-20241224165529-7044f28e491e
github.com/getsops/sops/v3	v3.13.2
github.com/gliderlabs/ssh	v0.3.8
github.com/go-errors/errors	v1.0.1
github.com/go-errors/errors	v1.5.1
github.com/go-fed/httpsig	v1.1.0
github.com/go-git/gcfg	v1.5.0
github.com/go-git/gcfg	v1.5.1-0.20230307220236-3a3c6141e376
github.com/go-git/go-billy/v5	v5.4.1
github.com/go-git/go-billy/v5	v5.9.0
github.com/go-git/go-git-fixtures/v4	v4.3.2-0.20231010084843-55a94097c399
github.com/go-git/go-git/v5	v5.19.1
github.com/go-git/go-git/v5	v5.6.1
github.com/go-gorp/gorp/v3	v3.0.5
github.com/go-gorp/gorp/v3	v3.1.0
github.com/go-jose/go-jose/v4	v4.1.4
github.com/go-logr/logr	v1.2.3
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-ole/go-ole	v1.2.6
github.com/go-openapi/jsonpointer	v0.19.5
github.com/go-openapi/jsonpointer	v0.23.1
github.com/go-openapi/jsonreference	v0.20.0
github.com/go-openapi/jsonreference	v0.21.6
github.com/go-openapi/swag	v0.19.14
github.com/go-openapi/swag	v0.26.0
github.com/go-openapi/swag/cmdutils	v0.26.0
github.com/go-openapi/swag/conv	v0.26.0
github.com/go-openapi/swag/fileutils	v0.26.0
github.com/go-openapi/swag/jsonname	v0.26.0
github.com/go-openapi/swag/jsonutils	v0.26.0
github.com/go-openapi/swag/jsonutils/fixtures_test	v0.26.0
github.com/go-openapi/swag/loading	v0.26.0
github.com/go-openapi/swag/mangling	v0.26.0
github.com/go-openapi/swag/netutils	v0.26.0
github.com/go-openapi/swag/stringutils	v0.26.0
github.com/go-openapi/swag/typeutils	v0.26.0
github.com/go-openapi/swag/yamlutils	v0.26.0
github.com/go-openapi/testify/enable/yaml/v2	v2.4.2
github.com/go-openapi/testify/v2	v2.5.1
github.com/go-quicktest/qt	v1.102.0
github.com/go-sql-driver/mysql	v1.8.1
github.com/go-test/deep	v1.1.1
github.com/go-viper/mapstructure/v2	v2.5.0
github.com/gobwas/glob	v0.2.3
github.com/goccy/go-yaml	v1.19.2
github.com/gogo/protobuf	v1.3.2
github.com/golang-jwt/jwt/v4	v4.3.0
github.com/golang-jwt/jwt/v5	v5.3.1
github.com/golang/groupcache	v0.0.0-20210331224755-41bb18bfe9da
github.com/golang/groupcache	v0.0.0-20241129210726-2c02b8208cf8
github.com/golang/protobuf	v1.5.2
github.com/golang/protobuf	v1.5.4
github.com/golang/snappy	v0.0.4
github.com/google/btree	v1.0.1
github.com/google/btree	v1.1.3
github.com/google/gnostic	v0.5.7-v3refs
github.com/google/gnostic-models	v0.7.0
github.com/google/go-cmp	v0.5.9
github.com/google/go-cmp	v0.7.0
github.com/google/go-containerregistry	v0.13.0
github.com/google/go-containerregistry	v0.21.7
github.com/google/go-github/v69	v69.2.0
github.com/google/go-querystring	v1.2.0
github.com/google/gofuzz	v1.2.0
github.com/google/martian/v3	v3.3.3
github.com/google/s2a-go	v0.1.9
github.com/google/shlex	v0.0.0-20191202100458-e7afc7fbc510
github.com/google/uuid	v1.3.0
github.com/google/uuid	v1.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.1.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.17
github.com/googleapis/gax-go/v2	v2.22.0
github.com/googleapis/gax-go/v2	v2.4.0
github.com/gorilla/handlers	v1.5.2
github.com/gorilla/mux	v1.8.0
github.com/gorilla/mux	v1.8.1
github.com/gosuri/uitable	v0.0.4
github.com/goware/prefixer	v0.0.0-20160118172347-395022866408
github.com/goware/urlx	v0.3.2
github.com/graph-gophers/graphql-go	v1.9.0
github.com/gregjones/httpcache	v0.0.0-20190611155906-901d90724c79
github.com/grpc-ecosystem/grpc-gateway/v2	v2.29.0
github.com/h2non/gock	v1.0.9
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-hclog	v1.2.0
github.com/hashicorp/go-hclog	v1.6.3
github.com/hashicorp/go-immutable-radix	v1.3.1
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/go-plugin	v1.4.3
github.com/hashicorp/go-retryablehttp	v0.7.0
github.com/hashicorp/go-retryablehttp	v0.7.8
github.com/hashicorp/go-rootcerts	v1.0.2
github.com/hashicorp/go-secure-stdlib/mlock	v0.1.2
github.com/hashicorp/go-secure-stdlib/parseutil	v0.1.3
github.com/hashicorp/go-secure-stdlib/parseutil	v0.2.0
github.com/hashicorp/go-secure-stdlib/strutil	v0.1.2
github.com/hashicorp/go-sockaddr	v1.0.2
github.com/hashicorp/go-sockaddr	v1.0.7
github.com/hashicorp/go-uuid	v1.0.2
github.com/hashicorp/go-version	v1.4.0
github.com/hashicorp/go-version	v1.9.0
github.com/hashicorp/golang-lru	v0.5.4
github.com/hashicorp/golang-lru/arc/v2	v2.0.5
github.com/hashicorp/golang-lru/v2	v2.0.7
github.com/hashicorp/hcl	v1.0.0
github.com/hashicorp/hcl	v1.0.1-vault-7
github.com/hashicorp/hcl/v2	v2.24.0
github.com/hashicorp/terraform-config-inspect	v0.0.0-20230614215431-f32df32a01cd
github.com/hashicorp/terraform-registry-address	v0.4.0
github.com/hashicorp/terraform-svchost	v0.1.1
github.com/hashicorp/vault/api	v1.23.0
github.com/hashicorp/vault/api	v1.5.0
github.com/hashicorp/vault/sdk	v0.4.1
github.com/hashicorp/yamux	v0.0.0-20211028200310-0bc27b27de87
github.com/heimdalr/dag	v1.2.1
github.com/heimdalr/dag	v1.5.1
github.com/helm-unittest/yaml-jsonpath	v0.4.0
github.com/hexops/gotextdiff	v1.0.3
github.com/howeyc/gopass	v0.0.0-20210920133722-c8aef6fb66ef
github.com/huandu/xstrings	v1.4.0
github.com/huandu/xstrings	v1.5.0
github.com/huaweicloud/huaweicloud-sdk-go-v3	v0.1.202
github.com/iancoleman/orderedmap	v0.2.0
github.com/ianlancetaylor/demangle	v0.0.0-20240805132620-81f5be970eca
github.com/imdario/mergo	v0.3.13
github.com/inconshreveable/mousetrap	v1.0.1
github.com/inconshreveable/mousetrap	v1.1.0
github.com/invopop/jsonschema	v0.14.0
github.com/invopop/jsonschema	v0.7.0
github.com/jbenet/go-context	v0.0.0-20150711004518-d14ea06fba99
github.com/jferrl/go-githubauth	v1.7.0
github.com/jmespath/go-jmespath	v0.4.0
github.com/jmoiron/sqlx	v1.3.5
github.com/jmoiron/sqlx	v1.4.0
github.com/joho/godotenv	v1.5.1
github.com/josharian/intern	v1.0.0
github.com/json-iterator/go	v1.1.12
github.com/json-iterator/go	v1.1.13-0.20220915233716-71ac16282d12
github.com/kevinburke/ssh_config	v1.2.0
github.com/klauspost/compress	v1.15.11
github.com/klauspost/compress	v1.18.6
github.com/klauspost/cpuid/v2	v2.3.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/kylelemons/godebug	v1.1.0
github.com/lann/builder	v0.0.0-20180802200727-47ae307949d0
github.com/lann/ps	v0.0.0-20150810152359-62de8c46ede0
github.com/lib/pq	v1.10.7
github.com/lib/pq	v1.12.3
github.com/liggitt/tabwriter	v0.0.0-20181228230101-89fcab3d43de
github.com/lithammer/dedent	v1.1.0
github.com/lufia/plan9stats	v0.0.0-20211012122336-39d0f177ccd0
github.com/magiconair/properties	v1.8.10
github.com/mailru/easyjson	v0.7.6
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-colorable	v0.1.15
github.com/mattn/go-isatty	v0.0.17
github.com/mattn/go-isatty	v0.0.22
github.com/mattn/go-runewidth	v0.0.15
github.com/mattn/go-runewidth	v0.0.9
github.com/mattn/go-sqlite3	v1.14.22
github.com/matttproud/golang_protobuf_extensions	v1.0.4
github.com/microsoft/azure-devops-go-api/azuredevops/v7	v7.1.0
github.com/miekg/dns	v1.1.57
github.com/minamijoyo/hcledit	v0.2.18
github.com/minamijoyo/tfupdate	v0.8.0
github.com/mitchellh/copystructure	v1.2.0
github.com/mitchellh/go-homedir	v1.1.0
github.com/mitchellh/go-testing-interface	v1.14.1
github.com/mitchellh/go-wordwrap	v1.0.1
github.com/mitchellh/hashstructure	v1.1.0
github.com/mitchellh/mapstructure	v1.5.0
github.com/mitchellh/reflectwalk	v1.0.2
github.com/moby/buildkit	v0.10.6
github.com/moby/buildkit	v0.31.2
github.com/moby/docker-image-spec	v1.3.1
github.com/moby/go-archive	v0.2.0
github.com/moby/locker	v1.0.1
github.com/moby/moby/api	v1.55.0
github.com/moby/moby/client	v0.5.0
github.com/moby/patternmatcher	v0.6.1
github.com/moby/spdystream	v0.2.0
github.com/moby/sys/sequential	v0.7.0
github.com/moby/sys/user	v0.4.1
github.com/moby/sys/userns	v0.1.0
github.com/moby/term	v0.0.0-20221205130635-1aeaba878587
github.com/moby/term	v0.5.2
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/modern-go/reflect2	v1.0.3-0.20250322232337-35a7c28c31ee
github.com/monochromegane/go-gitignore	v0.0.0-20200626010858-205db1a8cc00
github.com/morikuni/aec	v1.0.0
github.com/muesli/mango	v0.1.0
github.com/muesli/mango	v0.2.0
github.com/muesli/mango-cobra	v1.2.0
github.com/muesli/mango-cobra	v1.3.0
github.com/muesli/mango-pflag	v0.1.0
github.com/muesli/roff	v0.1.0
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/nirasan/go-oauth-pkce-code-verifier	v0.0.0-20220510032225-4f9f17eaec4c
github.com/oklog/run	v1.1.0
github.com/onsi/ginkgo/v2	v2.28.1
github.com/onsi/gomega	v1.39.1
github.com/opencontainers/go-digest	v1.0.0
github.com/opencontainers/go-digest	v1.0.1-0.20231025023718-d50d2fec9c98
github.com/opencontainers/image-spec	v1.1.0-rc2
github.com/opencontainers/image-spec	v1.1.1
github.com/opencontainers/runc	v1.3.6
github.com/ory/dockertest/v3	v3.12.0
github.com/pb33f/ordered-map/v2	v2.3.1
github.com/pelletier/go-toml	v1.9.5
github.com/pelletier/go-toml/v2	v2.3.1
github.com/peterbourgon/diskv	v2.0.1%2Bincompatible
github.com/phayes/freeport	v0.0.0-20220201140144-74d24b5ae9f5
github.com/pierrec/lz4	v2.6.1%2Bincompatible
github.com/pjbgf/sha1cd	v0.3.0
github.com/pjbgf/sha1cd	v0.6.0
github.com/pkg/browser	v0.0.0-20240102092130-5ac0b6a4141c
github.com/pkg/errors	v0.9.1
github.com/planetscale/vtprotobuf	v0.6.1-0.20240319094008-0393e58bdf10
github.com/pmezard/go-difflib	v1.0.0
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/power-devops/perfstat	v0.0.0-20240221224432-82ca36839d55
github.com/poy/onpar	v1.1.2
github.com/prometheus/client_golang	v1.14.0
github.com/prometheus/client_golang	v1.23.2
github.com/prometheus/client_model	v0.3.0
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.37.0
github.com/prometheus/common	v0.67.5
github.com/prometheus/otlptranslator	v1.0.0
github.com/prometheus/procfs	v0.20.1
github.com/prometheus/procfs	v0.8.0
github.com/protocolbuffers/txtpbfmt	v0.0.0-20260420112717-c39628bde8b5
github.com/rancher/saml	v0.2.0
github.com/redis/go-redis/extra/rediscmd/v9	v9.0.5
github.com/redis/go-redis/extra/redisotel/v9	v9.0.5
github.com/redis/go-redis/v9	v9.7.3
github.com/rivo/uniseg	v0.4.4
github.com/rogpeppe/go-internal	v1.15.0
github.com/rubenv/sql-migrate	v1.3.1
github.com/rubenv/sql-migrate	v1.8.1
github.com/russross/blackfriday/v2	v2.1.0
github.com/ryanuber/go-glob	v1.0.0
github.com/santhosh-tekuri/jsonschema/v6	v6.0.2
github.com/sebdah/goldie/v2	v2.5.3
github.com/sergi/go-diff	v1.1.0
github.com/sergi/go-diff	v1.4.0
github.com/shirou/gopsutil/v4	v4.26.3
github.com/shopspring/decimal	v1.3.1
github.com/shopspring/decimal	v1.4.0
github.com/shurcooL/githubv4	v0.0.0-20230215024106-420ad0987b9b
github.com/shurcooL/githubv4	v0.0.0-20260209031235-2402fdf4a9ed
github.com/shurcooL/graphql	v0.0.0-20220606043923-3cf50f8a0a29
github.com/sirupsen/logrus	v1.9.0
github.com/sirupsen/logrus	v1.9.4
github.com/skeema/knownhosts	v1.1.0
github.com/skeema/knownhosts	v1.3.1
github.com/skratchdot/open-golang	v0.0.0-20200116055534-eef842397966
github.com/spf13/afero	v1.15.0
github.com/spf13/cast	v1.5.0
github.com/spf13/cast	v1.7.0
github.com/spf13/cobra	v1.10.2
github.com/spf13/cobra	v1.6.1
github.com/spf13/pflag	v1.0.10
github.com/spf13/pflag	v1.0.5
github.com/spiffe/go-spiffe/v2	v2.8.1
github.com/stretchr/objx	v0.5.3
github.com/stretchr/testify	
github.com/stretchr/testify	v1.11.1
github.com/stretchr/testify	v1.8.2
github.com/testcontainers/testcontainers-go	v0.42.0
github.com/tetratelabs/wabin	v0.0.0-20230304001439-f6f874872834
github.com/tetratelabs/wazero	v1.12.0
github.com/tjfoc/gmsm	v1.4.1
github.com/tklauser/go-sysconf	v0.3.16
github.com/tklauser/numcpus	v0.11.0
github.com/tomwright/dasel	v1.27.3
github.com/tomwright/dasel/v2	v2.8.1
github.com/urfave/cli	v1.22.17
github.com/x448/float16	v0.8.4
github.com/xanzy/ssh-agent	v0.3.3
github.com/xeipuuv/gojsonpointer	v0.0.0-20180127040702-4e3ac2762d5f
github.com/xeipuuv/gojsonpointer	v0.0.0-20190905194746-02993c407bfb
github.com/xeipuuv/gojsonreference	v0.0.0-20180127040603-bd5ef7bd5415
github.com/xeipuuv/gojsonschema	v1.2.0
github.com/xlab/treeprint	v1.1.0
github.com/xlab/treeprint	v1.2.0
github.com/yuin/goldmark	v1.8.4
github.com/yusufpapurcu/wmi	v1.2.4
github.com/zclconf/go-cty	v1.19.0
github.com/zclconf/go-cty-debug	v0.0.0-20240509010212-0d6042c53940
gitlab.com/gitlab-org/api/client-go	v1.46.0
go.mongodb.org/mongo-driver	v1.17.9
go.mozilla.org/gopgagent	v0.0.0-20170926210634-4d7ea76ff71a
go.mozilla.org/sops/v3	v3.7.3
go.opencensus.io	v0.23.0
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/bridges/prometheus	v0.67.0
go.opentelemetry.io/contrib/detectors/gcp	v1.44.0
go.opentelemetry.io/contrib/exporters/autoexport	v0.67.0
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc	v0.69.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.69.0
go.opentelemetry.io/otel	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlplog/otlploggrpc	v0.19.0
go.opentelemetry.io/otel/exporters/otlp/otlplog/otlploghttp	v0.19.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetrichttp	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp	v1.44.0
go.opentelemetry.io/otel/exporters/prometheus	v0.65.0
go.opentelemetry.io/otel/exporters/stdout/stdoutlog	v0.19.0
go.opentelemetry.io/otel/exporters/stdout/stdoutmetric	v1.44.0
go.opentelemetry.io/otel/exporters/stdout/stdouttrace	v1.44.0
go.opentelemetry.io/otel/log	v0.19.0
go.opentelemetry.io/otel/metric	v1.44.0
go.opentelemetry.io/otel/metric/x	v0.66.0
go.opentelemetry.io/otel/sdk	v1.44.0
go.opentelemetry.io/otel/sdk/log	v0.19.0
go.opentelemetry.io/otel/sdk/metric	v1.44.0
go.opentelemetry.io/otel/trace	v1.44.0
go.opentelemetry.io/proto/otlp	v1.10.0
go.starlark.net	v0.0.0-20200306205701-8dd3e2ee1dd5
go.uber.org/atomic	v1.9.0
go.uber.org/goleak	v1.3.0
go.yaml.in/yaml/v2	v2.4.4
go.yaml.in/yaml/v3	v3.0.4
go.yaml.in/yaml/v4	v4.0.0-rc.4
golang.org/x/crypto	v0.53.0
golang.org/x/crypto	v0.6.0
golang.org/x/exp	v0.0.0-20260603202125-055de637280b
golang.org/x/mod	v0.37.0
golang.org/x/mod	v0.8.0
golang.org/x/net	v0.56.0
golang.org/x/net	v0.8.0
golang.org/x/oauth2	v0.36.0
golang.org/x/oauth2	v0.6.0
golang.org/x/sync	v0.1.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.46.0
golang.org/x/sys	v0.6.0
golang.org/x/term	v0.44.0
golang.org/x/term	v0.6.0
golang.org/x/text	v0.38.0
golang.org/x/text	v0.8.0
golang.org/x/time	v0.15.0
golang.org/x/time	v0.3.0
golang.org/x/tools	v0.46.0
golang.org/x/tools	v0.6.0
golang.org/x/xerrors	v0.0.0-20231012003039-104605ab7028
gonum.org/v1/gonum	v0.17.0
google.golang.org/api	v0.286.0
google.golang.org/api	v0.96.0
google.golang.org/appengine	v1.6.7
google.golang.org/genproto	v0.0.0-20220915135415-7fd63a7952de
google.golang.org/genproto	v0.0.0-20260622175928-b703f567277d
google.golang.org/genproto/googleapis/api	v0.0.0-20260622175928-b703f567277d
