repo,sha,status,n_gt_imported,n_gt_impT,n_gt_all,n_syft,n_trivy,n_cdxgen,n_cyclonedx-gomod,golist_real_errors,golist_progress_lines,error_kinds
Balaji01-4D__pgxcli,736c33a487ee9b4516f4c10bc8635dd44b3aae07,OK,63,66,164,130,112,63,64,0,0,""
Bilibili__discovery,1e12d5c0080ecd7ce97ab78076ef36dda8d56a1a,OK,23,27,211,39,211,23,26,0,0,""
Boeing__config-file-validator,bd3b45e7b36dfebae607f1f96ce39ee8aaa99046,OK,42,47,100,66,48,42,44,0,0,""
Breeze0806__go-etl,fda85ca65f93e9413b09823533f7d79be7c87691,OK,54,54,103,75,55,54,55,0,0,""
BrianLeishman__go-imap,d3164e249d8426e2bb43b753a7c50b3ea2dcaaa5,OK,26,26,37,30,26,26,26,0,0,""
C2FO__vfs,e0c362c8df8e6c77e6da327a57a8b30e5b0f2942,OK,87,94,268,140,103,93,87,0,0,""
CalebQ42__bbConvert,ef1f4abc5c1be32a103a4e915a354e551f45e61c,OK,1,1,1,1,1,1,1,0,0,""
ChainSafe__gossamer,c4b8870fbc1930aa11085610d098dc9e7ffd515c,OK,193,196,565,259,228,205,192,0,0,""
ClickHouse__clickhouse-go,542f4ae0ff23c6a8f1c10756f29a82dff18a5a2d,OK,55,56,105,77,63,55,62,0,0,""
Clivern__Beaver,bd68afd9d44386b789e46d303f7f4a865ac4cc68,OK,41,41,172,67,55,41,51,0,0,""
CloudyKit__jet,22e833c29a7039abb0eba39c642189234df92bc0,OK,1,1,1,1,1,1,1,0,0,""
Code-Hex__Neo-cowsay,f68c20f068c26c55bc5a8572f1c582f0a1b08d34,OK,3,4,5,21,27,16,3,0,0,""
Colin4k1024__Aetheris,2ff3e77a18c4939aa126d35d72f7a0515c6e4855,OK,124,124,267,168,145,136,126,0,0,""
CovenantSQL__CovenantSQL,ce1b3c0121e193a61e3558e8175c8e831b1c2057,OK,87,92,238,127,238,87,94,0,0,""
Crocmagnon__fatcontext,2b18e0b7cfe9794420c0da92e06a4f2174c14ae8,OK,3,3,8,4,3,3,2,0,0,""
DATA-DOG__go-sqlmock,4e29cb9ba9984db4da4003b5c813f3747f450bc7,OK,1,1,1,1,1,1,1,0,0,""
DMcP89__tinycare-tui,8055cead09b141b97e6ca729c7e617d5c8bb76bd,OK,29,31,64,51,36,29,33,0,0,""
DarthPestilane__easytcp,5ddf56798fa68560125a6e67bf2fe8b3a0bda3db,OK,11,15,30,20,18,11,14,0,0,""
DeRuina__timberjack,caac349cfd9dab6ccfa54015a4bb6aacac1e6d15,OK,1,2,2,2,2,1,1,0,0,""
DrmagicE__gmqtt,92ed7d60915519f60c3d3cdb6420b1e11eb824e2,OK,47,47,312,119,105,47,104,0,0,""
DylanMeeus__hasgo,ea2659fc76a9d3165091ca031ece0ab4a52a09ee,OK,2,2,8,3,9,2,2,0,0,""
Dynom__TySug,708d0917d75b114dded2e9fc9b485f988c6edf88,OK,8,9,16,13,10,8,9,0,0,""
EchoVault__EchoVault,b0744d9160b5018b203f0b80239d48720a901cb4,OK,30,31,96,40,31,30,30,0,0,""
Edgenesis__shifu,3a5166370f5da06e3a6e30d54e2cceb026fcb3ee,OK,126,134,435,166,137,126,119,0,0,""
EngoEngine__engo,4d9de92353879edf4d7597d6070f4994cf307c41,OK,17,21,45,31,31,17,24,0,0,""
Eun__go-convert,efa2c5286fa3d5c583a534a2a52d618e4de75f4b,OK,5,5,7,6,7,5,5,0,0,""
Eun__go-hit,e7519b776df305b6ff877ad7451ecf1bc7cc660d,OK,30,35,52,44,52,38,30,0,0,""
Evertras__bubble-table,6062dafe1dd6dcfd8cceb06e54b199b382432605,OK,19,23,35,27,23,19,19,0,0,""
FiloSottile__age,706dfc1e799a03443ae46023502bd88d4e9e324f,OK,6,9,17,9,9,6,6,0,0,""
Forceu__gokapi,1af4241a529e51b5cc7b4f1bb1fadbe60b1c17dd,OK,30,34,114,71,49,49,41,0,0,""
FrancoLiberali__cql,571823bcc4a83e8dd35a75759344bcfa19006586,OK,16,33,113,81,64,38,43,0,0,""
FreeLeh__GoFreeDB,dc9979a8509908763b6ae7b643935476b948fafc,OK,16,22,93,29,23,16,17,0,0,""
Fs02__go-todo-backend,c6b0d7e90d5162c96fd47b755f88fc0cbecefa88,OK,16,17,51,40,17,17,15,0,0,""
Fs02__grimoire,afa1da26c513591d7c5eb5add90f506b41954da4,OK,11,12,12,12,12,11,11,0,0,""
GiGurra__boa,356f0535b37f937010bf8c76a57a1fba42a5992b,OK,2,2,7,3,3,2,3,0,0,""
Gituser143__cryptgo,afdb684df7e6066b6671f6353fabf964132757c4,OK,26,26,183,38,183,26,27,0,0,""
GoogleCloudPlatform__gcloud-golang,8e9f00f76afc0a0e5d1434e0c6039212e21d238d,OK,31,47,196,331,311,111,30,0,0,""
GuilhermeCaruso__anko,86551ff818229f4557c031dafb3dbb67d9b6e6f7,OK,3,3,14,6,16,3,3,0,0,""
GuilhermeCaruso__mooncake,dda32b02e9c90ffaf97d50cc13ac568ce136a83a,OK,4,4,10,5,4,4,4,0,0,""
Guitarbum722__align,c81c6ab38ff5739a25097be039b5f4cf7baba38a,OK,1,1,1,1,1,1,1,0,0,""
HDT3213__rdb,7ebe18a1ebef31cbcf1bd07744b47cd5d25fe7de,OK,7,7,18,12,8,7,8,0,0,""
Haraj-backend__hex-monscape,6595e47ed63ee0fbdedfb0bd946c98a8815f3796,OK,16,20,53,28,22,16,16,0,0,""
HazelnutParadise__insyra,36f3d621e92f8df326c61632f9393d16ce441578,OK,128,134,517,196,148,128,134,0,0,""
Henry-Sarabia__igdb,798c479b588af3e09b389a8efb7097a3e30869ba,OK,4,4,5,5,5,4,4,0,0,""
Henry-Sarabia__sliceconv,ec6676eeef507116720466f629904f2b73dbe38d,OK,1,1,1,1,1,1,1,0,0,""
Hossiy21__razify,e9692efc1a537067ab6a1edbd9832fa6097edee7,OK,6,6,12,8,8,6,7,0,0,""
HugoSmits86__nativewebp,732aa4ca729d1f9dc2068158af309e260792cb67,OK,1,1,2,1,1,1,1,0,0,""
Humpheh__goboy,ef499ef7a0f0d6750723ec578280bbe6928f12c7,OK,8,12,28,17,16,8,12,0,0,""
ITcathyh__conexec,cc9699c99745b24027f25c256603a5fbb73e6011,OK,1,2,2,2,2,1,1,0,0,""
Jacobbrewer1__patcher,a3fe78de2acdcd0e239a01bb77e536733ac7a37d,OK,6,6,97,38,35,35,35,0,0,""
Jagerente__gocfg,047162ec057f33c5174db57edcf5a83f02248dec,OK,1,5,7,6,7,1,1,0,0,""
JohannesKaufmann__html-to-markdown,290df46a279e3d7d9011dbbb199658dfcb5ec272,OK,15,15,29,20,15,15,15,0,0,""
JoshuaDoes__gofuckyourself,e5f8d4d21779d6a5d2a3febc6339b6f5c6ae8e59,OK,1,1,4,1,1,1,1,0,0,""
Kachit__appstore-sdk-go,4a599d3164f9433b0cd19cef36f9ac0c45f652d5,OK,2,7,9,8,9,2,2,0,0,""
Kachit__gorm-seeder,c75179271ba6ee134d9dd3b78b41cababcdb253a,OK,3,19,67,29,67,3,3,0,0,""
Knuspii__CrunchyCleaner,169977e3c2909823088fdb6314030430a94931b6,OK,3,3,15,11,7,3,7,0,0,""
Konstantin8105__c4go,5bf367b9678adff0c634b0d6daddc58a1c7eb7c3,OK,4,8,8,8,8,8,4,0,0,""
KusionStack__kusion,02cc9d8b236ad73dc7dcc25a36f1b55fafb48632,OK,325,334,805,396,350,325,332,0,0,""
Lifailon__lazyjournal,3cef484429a55de826e0dcd6ac3fb42533f2466b,OK,10,10,20,11,10,10,10,0,0,""
LimeChain__gosemble,e2ac2f3e704be998466f76876ae883bae19ca2e4,OK,26,26,284,81,78,85,NA,0,0,""
MUlt1mate__protoc-gen-httpgo,41cbb468b900b0f86d93fd6be9b839813e095bc8,SKIP_SHA固定不可,,,,,,,,,,
MarvinJWendt__testza,3fab8a745e09d74abd1694e2c85880d2528e2500,SKIP_SHA固定不可,,,,,,,,,,
Masterminds__squirrel,1ded5784535dcffa4e175d4efbd1ca2706927758,SKIP_SHA固定不可,,,,,,,,,,
MatProGo-dev__MatProInterface.go,b1b52f2d1fc36023165115366d901a89971d9e74,SKIP_SHA固定不可,,,,,,,,,,
MaxHalford__eaopt,822946c0646854c9cdd54e0ae6e5f22b0982add7,SKIP_SHA固定不可,,,,,,,,,,
MUlt1mate__protoc-gen-httpgo,41cbb468b900b0f86d93fd6be9b839813e095bc8,OK,2,3,10,84,66,52,2,0,0,""
MarvinJWendt__testza,3fab8a745e09d74abd1694e2c85880d2528e2500,OK,16,16,28,19,16,16,16,0,0,""
Masterminds__squirrel,1ded5784535dcffa4e175d4efbd1ca2706927758,OK,2,5,5,12,19,2,2,0,0,""
MatProGo-dev__MatProInterface.go,b1b52f2d1fc36023165115366d901a89971d9e74,OK,2,2,18,2,2,2,2,0,0,""
MaxHalford__eaopt,822946c0646854c9cdd54e0ae6e5f22b0982add7,OK,1,1,1,1,1,1,1,0,0,""
Melkeydev__go-blueprint,81f56f8c24637d2fd2adb5f37071c6d4cb72b571,OK,20,20,33,22,22,20,22,0,0,""
MonaxGT__gomalshare,e9621fca152226c726fa91c176a15f12da5b3e65,OK,1,1,1,1,1,1,1,0,0,""
MonaxGT__parsefields,3701550912b06edd73d8ea2e98f51cd84be7a185,OK,7,7,17,9,9,7,7,0,0,""
MordaTeam__go-config,dbe64aeba7c76ca55c0b22c2f1339d9a327afabb,OK,20,61,231,101,69,20,21,0,0,""
Mutasem-mk4__gspy,8d097687ba406897e4f63c3cf387682dd05dc5d2,OK,17,17,55,32,21,17,20,0,0,""
Mutasem-mk4__procscope,572e64f3f56c8ef77828ae69cf9a7ff018534136,OK,50,50,101,69,51,51,51,0,0,""
NdoleStudio__go-otelroundtripper,941c4781da779b30a7b7ed8d48c599243ff29afe,OK,7,16,23,21,16,7,7,0,0,""
Netflix__chaosmonkey,eaa28fb761c0ebe8644d1333e5d164e9cc3071e9,OK,24,24,37,33,29,24,24,0,0,""
NicoNex__echotron,ea90870cd52decaf9ade63e8f376527ac0c72ac3,OK,1,1,17,17,13,3,13,0,0,""
NodePassProject__nodepass,114345043d9608e1e24e783a270cde75193e4f42,OK,10,10,25,16,10,10,10,0,0,""
Noooste__azuretls-client,756acc9409a45f32c97548b2fc37b77130c4f1de,OK,21,24,132,41,26,21,21,0,0,""
OTA-Insight__bqwriter,b097adcaad8ae0008a08f083ce911b8c8dbff690,OK,35,35,202,54,43,35,42,0,0,""
OldPanda__bloomfilter,a41bcb391e21d9b20cbbeb18c9314bcf4561bf19,OK,2,2,20,6,20,2,2,0,0,""
Oudwins__zog,b486cb1a558b297e1c44e8e755b3175ea9215e3f,OK,5,6,12,8,6,5,5,0,0,""
PIMPfiction__govader_backend,d8ede28925bb3a2b7b0abfbfd69e5f04f0a962fa,OK,12,16,31,18,16,12,12,0,0,""
PaddleHQ__go-aws-ssm,d332b0bbfe91838fd6bf2aa63fae9950913644f2,OK,3,3,11,7,4,3,3,0,0,""
PaesslerAG__gval,a769652e8e427d1cbda6c8ae55808aee22a5f183,OK,1,2,2,2,2,1,1,0,0,""
PerimeterX__envite,90fe3b38660801ff2d191cbec5752e86f6fe05a6,OK,34,37,74,56,39,34,36,0,0,""
PerimeterX__marshmallow,ea27928591bf753de4a14e4ee0e86e293fcbfd1c,OK,2,4,5,4,4,2,2,0,0,""
Pixboost__transformimgs,dd9df102838bb40054be1b9f0816420551124785,OK,3,3,3,5,5,4,3,0,0,""
PuerkitoBio__goquery,50e9856dda907f3e559a3bdcdf6121244bc75a98,OK,2,2,6,2,2,2,2,0,0,""
Qntfy__kazaam,f202606c434998062d5e3a9637c1413ad58539ca,OK,2,2,2,2,2,2,2,0,0,""
Raezil__GoEventBus,f5bb1bc281855e41a0d3e8e8524468e64cc4490f,OK,6,6,12,7,7,6,6,0,0,""
RibbonFilter__ribbonGo,1f34e047975d3cafc6ebda5775c1ee4a3c93542e,OK,2,2,4,4,3,2,3,0,0,""
RichardKnop__go-fixtures,8d7ddb76c9e29abd2b747d08ca1bc30be87ec7e4,OK,1,6,10,9,10,1,1,0,0,""
RichardKnop__jsonhal,9ef775cfa6bf439e2791421ed81ef44a42605cf2,OK,1,4,4,4,4,1,1,0,0,""
RichardKnop__machinery,26dbe030840848d9c38fd090c3a46a29f29620e9,OK,46,50,118,87,76,65,51,0,0,""
RichardKnop__minisql,134a8dd9d19306f05b8781d17e34b8bb833c21ac,OK,7,13,42,23,21,7,7,0,0,""
RoaringBitmap__roaring,44559cd5c0e01050eb7ee87feb73a1b6ee90cf43,OK,2,7,19,14,12,2,7,0,0,""
SaiNageswarS__go-api-boot,322b096f27b0dcca58afc8ac11f64d603df39d41,OK,92,92,308,111,93,92,88,0,0,""
SeldonIO__goven,57c0f5d004c0f82564dc1883b3d8bf4e2af78b75,OK,4,21,81,39,21,4,4,0,0,""
Sherifabdlnaby__gpool,5b145118c786ff06d35f6700e896bbba4671121c,OK,1,1,2,2,2,2,1,0,0,""
Shopify__sarama,a15eb5ed4193736ddff129a9a28a0eabaf45c129,OK,14,18,37,48,44,28,14,0,0,""
SimonBaeumer__commander,11660f4cd4e309c3225a5df7925b4a2daceeafee,OK,28,30,58,42,39,39,29,0,0,""
SimonWaldherr__golang-examples,d238d9eaac5ea95b53d8776f53bbeff1c32e078a,OK,39,42,145,96,84,59,41,0,0,""
Sioro-Neoku__go-peerflix,c3821be36789eb7bd30aaa8218bc6eb7b7ac2ed2,OK,34,34,121,46,121,34,36,0,0,""
Sirupsen__logrus,a23d315dfebb6de47d18c92c8ae1430736a60b0c,OK,5,5,7,6,5,5,2,0,0,""
SonicRoshan__straf,d7d98022a9448e517ab105796196fcca6d0fb6b2,OK,1,5,7,6,7,1,1,0,0,""
Southclaws__fault,15e49aecd6730e9cd848ad43775e82f05ce0329f,OK,9,16,53,22,20,12,9,0,0,""
SpatiumPortae__portal,e51984e186dc2ea1176f082c0690eeb5719d353d,OK,51,82,293,106,95,51,54,0,0,""
SpectoLabs__hoverfly,d68454cbcfea281b6c07a61ec9ab288d485d1fe8,OK,79,81,170,95,82,82,80,0,0,""
TheCreeper__go-notify,44ab9a1c793a84ef59dd852a5fec7886a5788f6e,OK,1,1,1,1,1,1,1,0,0,""
ThomasObenaus__go-conf,aee34367937117f23cfa4bdb5a0023cffe69b09a,OK,19,22,161,29,22,19,19,0,0,""
ThreeDotsLabs__watermill,19b6816f64940527fad49eccb8d26d4df7dbbba3,OK,22,23,54,245,191,164,22,0,0,""
TimothyYe__skm,1ff5ab4d32e86c57863d8a7e3a8c4fe072340604,OK,7,7,9,9,7,7,7,0,0,""
Tochemey__goakt,e370d0d4c0f9c1bc6741ea4fb70a0710e0ade382,OK,129,162,309,199,173,129,130,0,0,""
TrueFurby__go-callvis,67a26605e208542065d44b34a28948dde3af8d1c,OK,9,9,20,13,10,9,10,0,0,""
TwinProduction__gatus,ae7ca199aa8004c7a4f1088dc20d141610c81f2f,OK,88,89,162,126,94,88,93,0,0,""
Ullaakut__cameradar,d286b0f981c6d31ad9744857509e95fb1eaab5a2,OK,76,80,175,124,82,76,78,0,0,""
Unrud__remote-touchpad,996edb05017136ab0a72e6b364b60dccfadf8a33,OK,2,2,8,5,5,2,5,0,0,""
VerizonDigital__vflow,811977722a7ce0671f798f734fc0fb36714ac2ec,OK,38,38,156,63,42,38,39,0,0,""
Vertamedia__chproxy,77a99f12be3bfa57717bac03765c15995d71acc7,OK,20,28,60,36,29,20,20,0,0,""
VictoriaMetrics__VictoriaMetrics,dce9514c65e59a73f0728374e39271fc4ef24b8a,OK,170,170,565,279,172,171,171,0,0,""
VictoriaMetrics__fastcache,091c9d553e4e182cc9df7f5389df2b6365b5ed1f,OK,3,4,8,7,6,6,3,0,0,""
VinGarcia__ksql,2f80a222570639cbf7ca207f157f1823d421d1a4,OK,4,4,12,113,163,66,4,0,0,""
VividCortex__pm,baa672fec1402defdac3d88779f2c9f9b506de45,OK,1,1,1,1,1,1,1,0,0,""
VividCortex__robustly,5e1fcf937f386c26c701bee97a9cc79798e09f6b,OK,1,1,1,1,1,1,1,0,0,""
mmadfox__go-geojson2h3,8e05497dcc7f2fca7f9143811317293935324dbb,OK,8,8,10,10,8,8,8,0,0,""
prashantgupta24__activity-tracker,015844e45664f5224e4f65f355c1c1f1476761cc,OK,18,22,38,31,30,18,25,0,0,""
lrita__numa,29f88905963797c57362861a2dd8adb14a6f152a,OK,1,4,5,4,5,1,1,0,0,""
tarmac-project__tarmac,ad0e89ece2890cfd54b61dbe15a2418d4901ee51,OK,115,117,333,161,130,118,116,0,0,""
num30__config,79100d75497b401efcfa6ce60666cb9a3ebc7484,OK,23,27,192,33,29,23,25,0,0,""
parsyl__parquet,92fcb6db3721c79e344be26a049f14835a41198d,OK,3,8,10,9,8,3,3,0,0,""
containrrr__shoutrrr,ccf81390b700948f85ce1c79f6de9ee75c68d9e5,OK,29,30,65,54,34,29,32,0,0,""
masterzen__winrm,5570be7f80cf7c413eb4e646dc9c12b1f838dae5,OK,19,22,39,29,23,19,19,0,0,""
hrygo__hotplex,b6b9108b69f11d2afa6a8eed035b9a6e75b0bf40,OK,124,129,302,188,NA,135,128,0,0,""
golangci__golangci-lint,d5de4e14c8f811cc6294105b99d022a543687b63,OK,209,215,399,302,274,269,212,0,0,""
gobeam__mongo-go-pagination,f00183ba8cc55a73a76aa1e9b7c271d18343392d,OK,12,12,55,22,55,12,12,0,0,""
marlow__marlow,09f77bdfd9ef59274199d1ad39b0684d5b2b796a,OK,1,2,2,2,2,1,1,0,0,""
pantrif__url-shortener,5dadc9e73de795dca28a21ca6e49e390a19bffdc,OK,2,3,3,3,3,2,2,0,0,""
benmanns__goworker,f3aeb48676befd1a05a5fd241d5a7bf72dc742eb,OK,4,4,13,9,13,4,4,0,0,""
miguelmota__golang-for-nodejs-developers,26bfd24d0caef71beeabbfb3061f70604f4a1646,OK,9,9,196,20,196,6,9,0,0,""
golobby__orm,aa0a1c4602062d6ba39c021472a245045d05b2e7,OK,14,19,45,31,25,14,15,0,0,""
mainak55512__stto,5f25cc6e21adc16bc14c246ff2d8ebf488ffa0f5,OK,3,3,4,4,3,3,3,0,0,""
xhit__go-simple-mail,a5ceaf25bef4f7f306c3eddaab1232afa4c15f9c,OK,1,1,8,7,9,1,1,0,0,""
Yiling-J__cacheme-go,d651a555be1601f69f13b100ea53e6a80195eb14,OK,13,17,164,28,164,13,14,0,0,""
buger__gor,251e45abd242886bb64ff2b2dc98789556b56330,OK,66,68,147,83,71,66,66,0,0,""
smallnest__rpcx,397d85be7f21d77bed7e5da010c2ebd14bb77c03,OK,49,55,186,82,72,49,62,0,0,""
flower-corp__lotusdb,294cde2c35da38ddb0a78f88a919e70087a8d00f,OK,20,24,59,31,29,20,22,0,0,""
vahiiiid__go-rest-api-boilerplate,092a625f06427eaa0b59d0e6c86840baa1da0151,OK,60,65,288,106,76,76,71,0,2,""
matryer__moq,1b3799f1e7f74e9680ed32e9f239b417d4a093e4,OK,3,4,9,11,11,5,3,0,0,""
bozd4g__go-http-client,403729fe3000919daae3b7c7f22c725d0e3751b6,OK,1,5,7,7,6,1,1,0,0,""
mikestefanello__backlite,e95e2eab6c145ee0706a66575e8ed75e5c7bd616,OK,8,11,35,28,13,8,10,0,0,""
go-rel__rel,1d091d7ddfd47c78cb5aec13c929b2d1da37885d,OK,2,7,28,17,9,2,2,0,0,""
openfga__openfga,4539162281843a1cc030e7ac3f804555e69b9707,OK,134,139,294,182,144,134,138,0,0,""
wlevene__ini,c8a2ece439d171d1318b6f337360b2e86d36e968,OK,2,2,2,2,2,2,2,0,0,""
robfig__soy,c50f1b6ba73823a8086f546415e613273cc2d1c9,OK,4,8,25,15,25,4,4,0,0,""
wagoodman__dive,d6c691947f8fda635c952a17ee3b7555379d58f0,OK,83,98,148,122,109,83,84,0,0,""
hyperledger__fabric,ef2166e6a4e4eb990f30990aabbe0daa1b82e11d,OK,111,115,498,212,202,172,115,0,0,""
lalamove__konfig,5b61527a91b747aff99d250d93d2ba3fc4acc0e4,OK,51,65,245,104,245,51,52,0,0,""
kyuff__anchor,d0bb1408815563d9f2644b65477f4deab5f1923c,OK,1,1,10,6,4,1,4,0,0,""
bobg__htree,b6cb52b842f2e657b4be583f2aa7a0e901bc5d64,OK,2,4,10,5,5,2,2,0,0,""
go-zoox__fetch,1f397699aafe3e127455287f7d10e75a157129ff,OK,7,9,15,10,9,7,7,0,0,""
dimiro1__health,e388c68d7d7e0c9e32da69166af04273420a6d64,OK,1,3,4,4,4,1,1,0,0,""
immortal__immortal,35afc96faa1d6682c09ec0cab16fb7edf3fd138e,OK,6,6,7,7,7,6,6,0,0,""
derekparker__delve,629570839de5a2eb78cf0c47c2e2213a7f1772e0,OK,19,20,37,30,22,22,21,0,0,""
x-mod__routine,3c831356db0afe763c90cba647990fbacf44fc26,OK,7,7,34,17,34,7,7,0,0,""
yazgazan__jaydiff,822d6a2b1b48e398068be4cc0182491d1aafae0b,OK,8,8,8,8,8,8,8,0,0,""
go-gorm__gorm,1d6ce99528060be18a42be09aca8d39efcb47f28,OK,3,5,8,43,29,3,3,0,0,""
hashmap-kz__relimpact,b9f4c8443bb67f60e45be562f9e12e240e3b737b,OK,7,7,14,9,8,7,4,0,0,""
dtylman__gowd,4271bc0536b73bfa03a6b409edd1b51ac83c68cc,OK,1,4,8,4,4,1,1,0,0,""
gagliardetto__solana-go,cd51d9586dd6a1e7b0c2c551d0f0416bb3b9d993,OK,66,77,133,97,79,66,67,0,0,""
vectaport__flowgraph,bfc7fcbbb4d89479477d9e0190639c25ce8d38ef,OK,3,3,6,3,3,3,3,0,0,""
shopify__toxiproxy,91b151c73cce020c7d2eae781df51152ccb1ae4b,OK,21,21,52,33,22,21,21,0,0,""
mongodb__mongo-go-driver,eb51cca8d1337da56f6a2ca93137316ede1f1ea8,OK,8,9,123,105,88,NA,34,0,0,""
asticode__go-astiav,ac70158432a1fffce2813215403dd65addc3df61,OK,1,5,7,6,5,1,1,0,0,""
omeid__uconfig,4872b0938850e72e038a615063a5e95bef02a401,OK,2,3,6,3,3,2,2,0,0,""
couchbase__moss,bf10bab20a24b43c15d23b530fc848e7bb580cad,OK,3,3,4,4,4,3,4,0,0,""
seiflotfy__count-min-log,8f4a18cb3eec790b2bdf3d2cf730763551e639f9,OK,1,1,1,1,1,1,1,0,0,""
recolude__unitpacking,a8c8274cb25cec5a3cb8f65d30a342f0e52e8af5,OK,2,6,9,7,9,2,2,0,0,""
alesr__templator,48e3be70966ff9b85e862eee0c2709259b9dbec1,OK,1,5,10,6,5,1,1,0,0,""
kazhuravlev__git-tools,7b955b352b38816155dd35e9b315abab1688a067,OK,24,24,54,44,26,24,25,0,0,""
richardwilkes__unison,6ca859a7e0fc8b7a32387cc8cd1bebb82b80988f,OK,14,14,24,20,17,14,17,0,0,""
uptrace__bun,44c54f24205e2d10c6cff6d0541ad09f59afcf4c,OK,9,13,22,144,119,72,9,0,0,""
presbrey__ollamafarm,862d7f6211f48507e019bb6e4c7f587b8fc77c99,OK,8,8,104,18,12,8,9,0,0,""
goxjs__glfw,622eb27e272a1e977fe4d925017751908d42919e,OK,1,1,1,1,1,1,1,0,0,""
fern4lvarez__piladb,c0bd688305cc816e8154a7ff47aac1a82c2b613a,OK,1,2,3,3,3,1,NA,0,0,""
esurdam__go-swagger-ui,8beb5ba14803d9ec4749a494051c0c4276704925,OK,1,1,1,1,1,1,1,0,0,""
axiomhq__hyperloglog,460b011e6a6ff1c818e271768cda4f2e9ce5f292,OK,2,6,15,10,9,2,2,0,0,""
antham__yogo,cdb5c3b1050ad2932a3a3cd1c456d9b141b860ff,OK,17,22,40,27,25,17,18,0,0,""
peterstace__simplefeatures,9e03a2bbabf20c3e621312009c5a690e9f1e7b99,OK,2,2,3,2,2,2,2,0,0,""
bytebase__bytebase,47fdd4474c09a2e466907ac6de209ab1ad089f0c,OK,321,324,983,480,351,321,343,0,0,""
xuri__xgen,c9cf3fcb4aaf715d167a220c3f13751ddde83e1c,OK,2,6,14,7,6,2,2,0,0,""
cybertec-postgresql__pg_timetable,ef61f7e66e95024cb0ca8e6dcb3601c93fb056e6,OK,84,85,140,112,93,84,89,0,0,""
labstack__echo,5a43c9b6d0e5273bd0077d4c2323e8ba64d87042,OK,1,7,15,8,7,1,1,0,0,""
mmcdole__gofeed,e010ca02e0eb28daf544c0447fdd64e4e99d5c5e,OK,6,10,20,11,10,6,6,0,0,""
mattn__goveralls,3c566820b1872aae28023f455893c0fd4f15198b,OK,2,2,10,4,10,2,2,0,0,""
s0rg__decompose,de6c01882f245fb7ecbaab0bc5bf7fcc463d0d0d,OK,26,26,69,57,35,26,27,0,0,""
mdlayher__dhcp6,2a67805d7d0b0bad6c1103058981afdea583b459,OK,1,1,1,1,1,1,1,0,0,""
esimov__gogu,c0a8b0b96bf3378466affe91d099440bdc031501,OK,2,6,12,7,6,2,2,0,0,""
codingsince1985__geo-golang,72ff6a749cc8cc214d09e4e0c35aa082a52b5364,OK,1,5,7,6,5,1,1,0,0,""
valyala__quicktemplate,4d619e27ca723c29dcecf9844b193ee20df2322a,OK,4,4,9,4,4,4,4,0,0,""
