github.com/ajitpratap0/GoSQLX
dario.cat/mergo v1.0.2
github.com/ncruces/go-strftime v1.0.0
github.com/opencontainers/go-digest v1.0.0
github.com/opencontainers/image-spec v1.1.1
github.com/pkg/errors v0.9.1
github.com/pmezard/go-difflib v1.0.0
github.com/power-devops/perfstat v0.0.0-20240221224432-82ca36839d55
github.com/remyoudompheng/bigfft v0.0.0-20230129092748-24d4a6f8daec
github.com/rogpeppe/go-internal v1.14.1
github.com/russross/blackfriday v1.6.0
github.com/russross/blackfriday/v2 v2.1.0
github.com/santhosh-tekuri/jsonschema/v5 v5.3.1
github.com/shirou/gopsutil/v4 v4.26.2
github.com/sirupsen/logrus v1.9.3
github.com/spf13/cast v1.7.1
github.com/spf13/cobra v1.10.1
github.com/spf13/pflag v1.0.9
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
github.com/testcontainers/testcontainers-go v0.41.0
github.com/tklauser/go-sysconf v0.3.16
github.com/tklauser/numcpus v0.11.0
github.com/wk8/go-ordered-map/v2 v2.1.8
github.com/yosida95/uritemplate/v3 v3.0.2
github.com/yusufpapurcu/wmi v1.2.4
go.opentelemetry.io/auto/sdk v1.2.1
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.49.0
go.opentelemetry.io/otel v1.43.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace v1.43.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp v1.41.0
go.opentelemetry.io/otel/metric v1.43.0
go.opentelemetry.io/otel/sdk v1.43.0
go.opentelemetry.io/otel/sdk/metric v1.43.0
go.opentelemetry.io/otel/trace v1.43.0
go.opentelemetry.io/proto/otlp v1.10.0
go.uber.org/goleak v1.3.0
golang.org/x/crypto v0.48.0
golang.org/x/exp v0.0.0-20251023183803-a4bb9ffd2546
golang.org/x/mod v0.33.0
golang.org/x/net v0.50.0
golang.org/x/sync v0.19.0
golang.org/x/sys v0.42.0
golang.org/x/term v0.40.0
golang.org/x/text v0.34.0
golang.org/x/time v0.0.0-20220210224613-90d013bbcef8
golang.org/x/tools v0.42.0
golang.org/x/xerrors v0.0.0-20191204190536-9bdfabe68543
google.golang.org/genproto/googleapis/api v0.0.0-20260209200024-4cfbd4190f57
google.golang.org/genproto/googleapis/rpc v0.0.0-20260209200024-4cfbd4190f57
google.golang.org/grpc v1.79.2
google.golang.org/protobuf v1.36.11
gopkg.in/check.v1 v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3 v3.0.1
gotest.tools/v3 v3.5.2
modernc.org/cc/v4 v4.27.1
modernc.org/ccgo/v4 v4.32.0
modernc.org/fileutil v1.4.0
modernc.org/gc/v2 v2.6.5
modernc.org/gc/v3 v3.1.2
modernc.org/goabi0 v0.2.0
modernc.org/libc v1.70.0
modernc.org/mathutil v1.7.1
modernc.org/memory v1.11.0
modernc.org/opt v0.1.4
modernc.org/sortutil v1.2.1
modernc.org/sqlite v1.48.0
modernc.org/strutil v1.2.1
modernc.org/token v1.1.0
