ariga.io/atlas v0.36.1
github.com/otiai10/copy v1.14.1
github.com/pkg/xattr v0.4.12
github.com/pmezard/go-difflib v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/prometheus/client_golang v1.22.0
github.com/prometheus/client_model v0.6.2
github.com/prometheus/common v0.65.0
github.com/prometheus/procfs v0.17.0
github.com/rclone/rclone v1.70.3
github.com/rfjakob/eme v1.1.2
github.com/rivo/uniseg v0.4.7
github.com/russross/blackfriday/v2 v2.1.0
github.com/savsgio/gotils v0.0.0-20250408102913-196191ec6287
github.com/segmentio/asm v1.2.0
github.com/shirou/gopsutil/v4 v4.25.6
github.com/spf13/pflag v1.0.7
github.com/stretchr/testify v1.11.1
github.com/tetratelabs/wazero v1.9.0
github.com/urfave/cli/v2 v2.27.7
github.com/valyala/bytebufferpool v1.0.0
github.com/valyala/fasthttp v1.64.0
github.com/wk8/go-ordered-map/v2 v2.1.8
github.com/xrash/smetrics v0.0.0-20250705151800-55b8f293f342
github.com/zclconf/go-cty v1.16.3
github.com/zclconf/go-cty-yaml v1.1.0
go.mongodb.org/mongo-driver v1.17.4
go.opentelemetry.io/auto/sdk v1.1.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.61.0
go.opentelemetry.io/otel v1.36.0
go.opentelemetry.io/otel/metric v1.36.0
go.opentelemetry.io/otel/trace v1.36.0
go.uber.org/multierr v1.11.0
go.uber.org/zap v1.27.0
go.yaml.in/yaml/v2 v2.4.2
golang.org/x/crypto v0.40.0
golang.org/x/exp v0.0.0-20250718183923-645b1fa84792
golang.org/x/mod v0.26.0
golang.org/x/net v0.42.0
golang.org/x/oauth2 v0.30.0
golang.org/x/sync v0.16.0
golang.org/x/sys v0.34.0
golang.org/x/term v0.33.0
golang.org/x/text v0.27.0
golang.org/x/time v0.12.0
golang.org/x/xerrors v0.0.0-20240903120638-7835f813f4da
google.golang.org/genproto/googleapis/rpc v0.0.0-20250603155806-513f23925822
google.golang.org/grpc v1.73.0
google.golang.org/protobuf v1.36.6
gopkg.in/yaml.v2 v2.4.0
gopkg.in/yaml.v3 v3.0.1
sigs.k8s.io/yaml v1.5.0
