code.gitea.io/sdk/gitea	v0.22.1
github.com/santhosh-tekuri/jsonschema/v5	v5.3.1
github.com/shopspring/decimal	v1.4.0
github.com/spf13/cast	v1.7.0
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.9
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/tidwall/gjson	v1.18.0
github.com/tidwall/match	v1.1.1
github.com/tidwall/pretty	v1.2.1
github.com/ulikunitz/xz	v0.5.15
github.com/valllabh/ocsf-schema-golang	v1.0.3
github.com/wk8/go-ordered-map/v2	v2.1.8
github.com/yargevad/filepathx	v1.0.0
github.com/yuin/goldmark	v1.4.13
gitlab.com/gitlab-org/api/client-go	v1.9.1
go.yaml.in/yaml/v3	v3.0.4
go.yaml.in/yaml/v4	v4.0.0-rc.4
golang.org/x/crypto	v0.52.0
golang.org/x/exp	v0.0.0-20260212183809-81e46e3db34a
golang.org/x/mod	v0.35.0
golang.org/x/net	v0.55.0
golang.org/x/oauth2	v0.34.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/telemetry	v0.0.0-20260409153401-be6f6cb8b1fa
golang.org/x/term	v0.43.0
golang.org/x/text	v0.37.0
golang.org/x/time	v0.14.0
golang.org/x/tools	v0.44.0
golang.org/x/tools/go/expect	v0.1.1-deprecated
golang.org/x/tools/go/packages/packagestest	v0.1.1-deprecated
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/ini.v1	v1.67.0
gopkg.in/yaml.v2	v2.3.0
gopkg.in/yaml.v3	v3.0.1
rsc.io/binaryregexp	v0.2.0
wait4x.dev/v3	v3.6.0
