github.com/DataDog/datadog-go	v2.2.0%2Bincompatible
github.com/hashicorp/terraform-exec	v0.16.1
github.com/hashicorp/terraform-json	v0.13.0
github.com/hashicorp/terraform-plugin-go	v0.9.0
github.com/hashicorp/terraform-plugin-log	v0.4.0
github.com/hashicorp/terraform-plugin-sdk/v2	v2.16.0
github.com/hashicorp/terraform-registry-address	v0.0.0-20210412075316-9b2996cce896
github.com/hashicorp/terraform-svchost	v0.0.0-20200729002733-f050f53b9734
github.com/hashicorp/yamux	v0.0.0-20181012175058-2f1d1f20f75d
github.com/hpcloud/tail	v1.0.0
github.com/iancoleman/strcase	v0.0.0-20180726023541-3605ed457bf7
github.com/imdario/mergo	v0.3.12
github.com/jbenet/go-context	v0.0.0-20150711004518-d14ea06fba99
github.com/jhump/protoreflect	v1.6.0
github.com/jtolds/gls	v4.20.0%2Bincompatible
github.com/kevinburke/ssh_config	v0.0.0-20201106050909-4977a11b4351
github.com/kr/pretty	v0.1.0
github.com/kr/pretty	v0.2.1
github.com/kr/text	v0.1.0
github.com/kr/text	v0.2.0
github.com/kylelemons/godebug	v1.1.0
github.com/mailru/easyjson	v0.0.0-20180823135443-60711f1a8329
github.com/manveru/faker	v0.0.0-20171103152722-9fbc68a78c4d
github.com/manveru/gobdd	v0.0.0-20131210092515-f1a17fdd710b
github.com/mattn/go-colorable	v0.1.4
github.com/mattn/go-isatty	v0.0.10
github.com/mitchellh/copystructure	v1.2.0
github.com/mitchellh/go-homedir	v1.1.0
github.com/mitchellh/go-testing-interface	v1.14.1
github.com/mitchellh/go-wordwrap	v1.0.0
github.com/mitchellh/hashstructure	v1.0.0
github.com/mitchellh/mapstructure	v1.5.0
github.com/mitchellh/reflectwalk	v1.0.2
github.com/nsf/jsondiff	v0.0.0-20200515183724-f29ed568f4ce
github.com/oklog/run	v1.0.0
github.com/oliveagle/jsonpath	v0.0.0-20180606110733-2e52cf6e6852
github.com/onsi/ginkgo	v1.7.0
github.com/onsi/gomega	v1.4.3
github.com/pascaldekloe/goe	v0.1.0
github.com/pborman/uuid	v0.0.0-20170612153648-e790cca94e6c
github.com/pkg/errors	v0.8.1
github.com/pmezard/go-difflib	v1.0.0
github.com/satori/go.uuid	v0.0.0-20180103174451-36e9d2ebbde5
github.com/sergi/go-diff	v1.2.0
github.com/smartystreets/assertions	v0.0.0-20180927180507-b2de0cb4f26d
github.com/smartystreets/goconvey	v0.0.0-20180222194500-ef6db91d284a
github.com/smartystreets/goconvey	v1.6.4
github.com/spf13/cobra	v1.1.3
github.com/spf13/pflag	v1.0.5
github.com/stretchr/testify	v1.3.0
github.com/stretchr/testify	v1.7.0
github.com/vmihailenco/msgpack	v4.0.4%2Bincompatible
github.com/vmihailenco/msgpack/v4	v4.3.12
github.com/vmihailenco/tagparser	v0.1.1
github.com/xanzy/ssh-agent	v0.3.0
github.com/zach-klippenstein/goregen	v0.0.0-20160303162051-795b5e3961ea
github.com/zclconf/go-cty	v1.10.0
golang.org/x/crypto	v0.0.0-20220408190544-5352b0902921
golang.org/x/net	v0.0.0-20200707034311-ab3426394381
golang.org/x/net	v0.0.0-20220722155237-a158d28d115b
golang.org/x/sys	v0.0.0-20200625212154-ddb9806d33ae
golang.org/x/sys	v0.0.0-20220722155257-8c9f86f7a55f
golang.org/x/text	v0.3.3
golang.org/x/text	v0.3.7
google.golang.org/appengine	v1.6.6
google.golang.org/genproto	v0.0.0-20200711021454-869866162049
google.golang.org/grpc	v1.45.0
google.golang.org/protobuf	v1.28.0
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/mgo.v2	v2.0.0-20160818020120-3f83fa500528
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/warnings.v0	v0.1.2
gopkg.in/yaml.v2	v2.3.0
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
terraform-provider-openapi/examples/goa	
terraform-provider-openapi/examples/swaggercodegen	
