dmitri.shuralyov.com/gpu/mtl	v0.0.0-20190408044501-666a987793e9
github.com/jackc/pgx/v4	v4.15.0
github.com/jackc/puddle	v1.2.1
github.com/jmespath/go-jmespath	v0.4.0
github.com/jmespath/go-jmespath/internal/testify	v1.5.1
github.com/jmoiron/sqlx	v1.3.4
github.com/jung-kurt/gofpdf	v1.0.3-0.20190309125859-24315acbbda5
github.com/kisielk/gotool	v1.0.0
github.com/konsorten/go-windows-terminal-sequences	v1.0.2
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.8
github.com/kr/text	v0.1.0
github.com/kylelemons/godebug	v0.0.0-20170820004349-d65d576e9348
github.com/lib/pq	v1.10.4
github.com/martinlindhe/notify	v0.0.0-20181008203735-20632c9a275a
github.com/mattn/go-colorable	v0.1.9
github.com/mattn/go-isatty	v0.0.14
github.com/mattn/go-sqlite3	v1.14.12
github.com/mavolin/dismock	v1.3.4
github.com/mitchellh/go-wordwrap	v0.0.0-20150314170334-ad45545899c7
github.com/mitchellh/mapstructure	v1.4.3
github.com/nu7hatch/gouuid	v0.0.0-20131221200532-179d4d0c4d8d
github.com/phpdave11/gofpdf	v1.4.2
github.com/phpdave11/gofpdi	v1.0.13
github.com/pierrec/lz4	v2.0.5+incompatible
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/robfig/cron/v3	v3.0.1
github.com/rogpeppe/go-internal	v1.3.0
github.com/rs/xid	v1.2.1
github.com/rs/zerolog	v1.15.0
github.com/ruudk/golang-pdf417	v0.0.0-20201230142125-a7e3863a1245
github.com/satori/go.uuid	v1.2.0
github.com/sergi/go-diff	v1.0.0
github.com/shopspring/decimal	v1.2.0
github.com/sirupsen/logrus	v1.4.2
github.com/slack-go/slack	v0.11.0
github.com/spf13/pflag	v1.0.2
github.com/stretchr/objx	v0.2.0
github.com/stretchr/testify	v1.7.0
github.com/toorop/go-dkim	v0.0.0-20201103131630-e1cd1a0a5208
github.com/valyala/fastrand	v1.1.0
github.com/valyala/histogram	v1.2.0
github.com/vmihailenco/msgpack	v3.3.3+incompatible
github.com/vmihailenco/msgpack/v4	v4.3.12
github.com/vmihailenco/tagparser	v0.1.1
github.com/xhit/go-simple-mail/v2	v2.11.0
github.com/yuin/gluamapper	v0.0.0-20150323120927-d836955830e7
github.com/yuin/goldmark	v1.3.5
github.com/yuin/gopher-lua	v0.0.0-20210529063254-f4c35e4016d9
github.com/zclconf/go-cty	v1.8.0
github.com/zclconf/go-cty-debug	v0.0.0-20191215020915-b22d67c1ba0b
github.com/zenazn/goji	v0.9.0
go.uber.org/atomic	v1.7.0
go.uber.org/goleak	v1.1.11
go.uber.org/multierr	v1.6.0
go.uber.org/tools	v0.0.0-20190618225709-2cfd321de3ee
go.uber.org/zap	v1.21.0
golang.org/x/crypto	v0.54.0
golang.org/x/exp	v0.0.0-20191002040644-a1355ae1e2c3
golang.org/x/image	v0.0.0-20211028202545-6944b10bf410
golang.org/x/lint	v0.0.0-20190930215403-16217165b5de
golang.org/x/mobile	v0.0.0-20190719004257-d2bd2a29d028
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.57.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.47.0
golang.org/x/term	v0.45.0
golang.org/x/text	v0.40.0
golang.org/x/time	v0.0.0-20200630173020-3af7569d3a1e
golang.org/x/tools	v0.47.0
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gonum.org/v1/gonum	v0.9.3
gonum.org/v1/netlib	v0.0.0-20190313105609-8cb42192e0e0
gonum.org/v1/plot	v0.10.1
google.golang.org/appengine	v1.6.5
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/errgo.v2	v2.1.0
gopkg.in/inconshreveable/log15.v2	v2.0.0-20180818164646-67afb5ed74ec
gopkg.in/toast.v1	v1.0.0-20180812000517-0a84660828b2
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.0-20210107192922-496545a6307b
honnef.co/go/tools	v0.1.3
rsc.io/pdf	v0.1.1
